anno_idx,imdbid,text_gt,text_gt_wo_char,gt_action
17,tt0286106,"Graham rushes out of his wooden farmhouse and heads towards a whitewashed barn, while the younger man runs down a flight of steps from the other floor.","He rushes out of his wooden farmhouse and heads towards a whitewashed barn, while he runs down a flight of steps from the other floor.","['He rushes out of his wooden farmhouse.', 'He heads towards a whitewashed barn.', 'He runs down a flight of steps from the other floor.']"
18,tt0286106,"Graham and the young man, Merrill charge through a field of tall green maize.",They charge through a field of tall green maize.,"['They charge through a field.', 'They run in a field of tall green maize.']"
19,tt0286106,They stop when they reach a gap.,They stop when they reach a gap.,['They stop when they reach a gap.']
20,tt0286106,"And look along a clear pathway, which cuts through the crop.","And look along a clear pathway, which cuts through the crop.","['And look along a clear pathway.', 'Which cuts through the crop.']"
21,tt0286106,A dark haired girl of about six-years-old stands a little further down the path.,A dark haired girl of about six-years-old stands a little further down the path.,['A dark haired girl of about six-years-old stands a little further down the path.']
22,tt0286106,"The two men run over to her, and Graham grabs her by the arms.","The two men run over to her, and he grabs her by the arms.","['The two men run over to her.', 'He grabs her by the arms.']"
23,tt0286106,Merrill picks up Bo and Graham dashes on through the maize.,He picks up him and he dashes on through the maize.,"['He picks up him.', 'He dashes on through the maize.']"
24,tt0286106,"Graham reaches a fair haired boy of about 10, who stares glassily across the field.","He reaches a fair haired boy of about 10, who stares glassily across the field.","['He reaches a fair haired boy of about 10.', 'The boy stares glassily across the field.']"
25,tt0286106,Graham turns Morgan head to face him.,He turns her head to face him.,['He turns her head to face him.']
26,tt0286106,"Morgan puts his hand around his father's jaw, and turns his head to face in the direction Morgan had been staring.","He puts his hand around his father's jaw, and turns his head to face in the direction he had been staring.","[""He puts his hand around his father's jaw."", 'He turns his head to face in the direction he had been staring.']"
27,tt0286106,"Graham stands and slowly walks through the maize, followed by Merrill who's still carrying Bo in his arms.","He stands and slowly walks through the maize, followed by him who's still carrying him in his arms.","['He stands.', 'He slowly walks through the maize.', ""He is followed by him who's still carrying him in his arms.""]"
28,tt0286106,Graham stops and glances around anxiously.,He stops and glances around anxiously.,"['He stops.', 'He glances around anxiously.']"
29,tt0286106,Graham swallows hard and tentatively steps forward onto a sea of flattened maize stalks.,He swallows hard and tentatively steps forward onto a sea of flattened maize stalks.,"['He swallows hard.', 'He tentatively steps forward onto a sea of flattened maize stalks.']"
30,tt0286106,Graham stares in wonder as Graham Merrill Morgan and Bo come to the perimeter of a vast circular expanse of flattened maize.,He stares in wonder as he and they come to the perimeter of a vast circular expanse of flattened maize.,"['He stares in wonder.', 'He and they come to the perimeter of a vast circular expanse of flattened maize.']"
31,tt0286106,Two large Alsatians pace around uneasily in the center.,Two large Alsatians pace around uneasily in the center.,['Two large Alsatians pace around uneasily in the center.']
32,tt0286106,"An aerial view shows Graham and his family standing in the circle, which is about 100 yards in diameter.","An aerial view shows him and his family standing in the circle, which is about 100 yards in diameter.","['An aerial view shows him and his family standing in the circle.', 'The circle is about 100 yards in diameter.']"
33,tt0286106,Another crop circle lies beside it.,Another crop circle lies beside it.,['Another crop circle lies beside it.']
34,tt0286106,"It's the same size, but has a small semi-circle of maize still standing within it.","It's the same size, but has a small semi-circle of maize still standing within it.","[""It's the same size."", 'It has a small semi-circle of maize still standing within it.']"
35,tt0286106,"A path leads from the side of the circle, splitting into two prongs.","A path leads from the side of the circle, splitting into two prongs.","['A path leads from the side of the circle.', 'It splits into two prongs.']"
36,tt0286106,"A third crop circle has two straight lines at either side, and a circle of maize remaining in the center, with another path leading off from its side.","A third crop circle has two straight lines at either side, and a circle of maize remaining in the center, with another path leading off from its side.","['A third crop circle has two straight lines at either side.', 'A circle of maize remains in the center.', 'There is another path leading off from its side.']"
37,tt0286106,"It splits into three larger prongs, the central one of which points towards a smaller circle.","It splits into three larger prongs, the central one of which points towards a smaller circle.","['It splits into three larger prongs.', 'The central one of which points towards a smaller circle.']"
38,tt0286106,Graham is on the phone as Graham looks out of his window at the yard.,He is on the phone as he looks out of his window at the yard.,"['He is on the phone.', 'He looks out of his window.', 'He looks at the yard.']"
39,tt0286106,Graham bows his head.,He bows his head.,['He bows his head.']
40,tt0286106,Graham steps into the kitchen.,He steps into the kitchen.,['He steps into the kitchen.']
41,tt0286106,One of the dogs lies on the floor near a puddle of liquid.,One of them lies on the floor near a puddle of liquid.,"['One of them lies on the floor.', 'It is near a puddle of liquid.']"
42,tt0286106,Morgan and Bo lead the Alsatian into the backyard.,They lead the Alsatian into the backyard.,['They lead the Alsatian into the backyard.']
43,tt0286106,Graham crosses the kitchen and pulls some paper towels off a roll.,He crosses the kitchen and pulls some paper towels off a roll.,"['He crosses the kitchen.', 'He pulls some paper towels off a roll.']"
44,tt0286106,"Graham dabs at the urine, saturating the towels.","He dabs at the urine, saturating the towels.","['He dabs at the urine.', 'He saturates the towels.']"
45,tt0286106,"Then, stands and walks back across the kitchen.","Then, he stands and walks back across the kitchen.","['He stands.', 'He walks back across the kitchen.']"
46,tt0286106,A dark haired woman in a police uniform leans casually in a doorway leading to the front hall.,A dark haired woman in a police uniform leans casually in a doorway leading to the front hall.,['A dark haired woman in a police uniform leans casually in a doorway leading to the front hall.']
47,tt0286106,Carolyn sighs wearily and gazes at Graham,She sighs wearily and gazes at him.,"['She sighs wearily.', 'She gazes at him.']"
48,tt0286106,"In the yard, Morgan is at  the smoking barbecue.","In the yard, he is at the smoking barbecue.",['He is at the smoking barbecue in the yard.']
49,tt0286106,Morgan sticks a fork in a chicken wing and turns it over.,He sticks a fork in a chicken wing and turns it over.,"['He sticks a fork in a chicken wing.', 'He turns it over.']"
50,tt0286106,One of the Alsatians watches Morgan from the veranda.,One of them watches him from the veranda.,['One of them watches him from the veranda.']
51,tt0286106,"The other one, Houdini, lies slumped in the yard with Bo kneeling in front of him.",He lies slumped in the yard with her kneeling in front of him.,"['He lies slumped in the yard.', 'She kneels in front of him.']"
52,tt0286106,Morgan walks across to Bo as Bo drinks from a large glass of water.,He walks across to him as he drinks from a large glass of water.,"['He walks across to him.', 'He drinks from a large glass of water.']"
53,tt0286106,"Morgan kneels beside his sister, and drinks from the tall glass.","He kneels beside her, and drinks from the tall glass.","['He kneels beside her.', 'He drinks from the tall glass.']"
54,tt0286106,Morgan gives her the glass.,He gives her the glass.,['He gives her the glass.']
55,tt0286106,"Bo carefully pours the water into a metal dog bowl, and slides it across the grass to Houdini.","He carefully pours the water into a metal dog bowl, and slides it across the grass to him.","['He carefully pours the water into a metal dog bowl.', 'He slides it across the grass to him.']"
56,tt0286106,The Alsatian suddenly jerks his head up towards Bo,The Alsatian suddenly jerks his head up towards him.,"['The Alsatian suddenly jerks his head up.', 'He jerks his head up towards him.']"
57,tt0286106,Bo jumps back in shock.,He jumps back in shock.,['He jumps back in shock.']
58,tt0286106,And Morgan frowns.,And he frowns.,['He frowns.']
59,tt0286106,Bo stands.,He stands.,['He stands.']
60,tt0286106,Houdini stands up and Bo freezes.,He stands up and he freezes.,"['He stands up.', 'He freezes.']"
61,tt0286106,The stalks all lie in the same direction.,The stalks all lie in the same direction.,['The stalks all lie in the same direction.']
62,tt0286106,Graham shakes his head.,He shakes his head.,['He shakes his head.']
63,tt0286106,Caroline looks across the field.,She looks across the field.,['She looks across the field.']
64,tt0286106,Graham stares thoughtfully into space.,He stares thoughtfully into space.,['He stares thoughtfully into space.']
65,tt0286106,Graham rises and slowly walks towards the edge of the circle.,He rises and slowly walks towards the edge of the circle.,"['He rises.', 'He slowly walks towards the edge of the circle.']"
66,tt0286106,Caroline stands and watches him with a slightly puzzled expression.,She watches him with a slightly puzzled expression.,"['She watches him.', 'She has a slightly puzzled expression.']"
67,tt0286106,Graham gazes across the field.,He gazes across the field.,['He gazes across the field.']
68,tt0286106,Graham and Caroline emerge through the tall green crop and look around anxiously.,They emerge through the tall green crop and look around anxiously.,"['They emerge through the tall green crop.', 'They look around anxiously.']"
69,tt0286106,Graham spots something over to his left and strides briskly towards it with a concerned expression.,He spots something over to his left and strides briskly towards it with a concerned expression.,"['He spots something over to his left.', 'He strides briskly towards it with a concerned expression.']"
70,tt0286106,Caroline follows him.,She follows him.,['She follows him.']
71,tt0286106,And they break into a jog.,And they break into a jog.,['They break into a jog.']
72,tt0286106,"Houdini lies motionless on the ground near the climbing frame, with Morgan kneeling beside him.","Houdini lies motionless on the ground near the climbing frame, with him kneeling beside him.","['Houdini lies motionless on the ground near the climbing frame.', 'He kneels beside him.']"
73,tt0286106,The barbecue fork sticks out of Houdini's throat.,The barbecue fork sticks out of his throat.,['The barbecue fork sticks out of his throat.']
74,tt0286106,And Morgan holds an asthma inhaler as Morgan stares down at the dog.,And he holds an asthma inhaler as he stares down at the dog.,"['He holds an asthma inhaler.', 'He stares down at the dog.']"
75,tt0286106,Morgan looks up at his father through puffy red eyes.,He looks up at him through puffy red eyes.,"['He looks up at him.', 'He looks at him through puffy red eyes.']"
76,tt0286106,"Bo sits up on a platform on the climbing frame, with her knees drawn tightly up to her chin.","He sits up on a platform on the climbing frame, with his knees drawn tightly up to his chin.","['He sits up on a platform on the climbing frame.', 'With his knees drawn tightly up to his chin.']"
77,tt0286106,Bo wears blue sneakers and jeans under her pale flowery dress.,She wears blue sneakers and jeans under her pale flowery dress.,"['She wears blue sneakers.', 'She wears jeans.', 'She wears her pale flowery dress over them.']"
78,tt0286106,Morgan looks back down and takes a puff of his inhaler.,He looks back down and takes a puff of his inhaler.,"['He looks back down.', 'He takes a puff of his inhaler.']"
79,tt0286106,Graham stares at his son and crouches down beside Houdini.,He stares at his son and crouches down beside him.,"['He stares at his son.', 'He crouches down beside him.']"
80,tt0286106,Morgan takes Graham hand and steps over Houdini.,He takes him hand and steps over it.,"['He takes him hand.', 'He steps over it.']"
81,tt0286106,They gaze down at the dead dog.,They gaze down at the dead dog.,['They gaze down at the dead dog.']
82,tt0286106,Graham puts his hand on Morgan shoulder.,He puts his hand on her shoulder.,['He puts his hand on her shoulder.']
83,tt0286106,Morgan brushes it away and trudges off solemnly.,He brushes it away and trudges off solemnly.,"['He brushes it away.', 'He trudges off solemnly.']"
84,tt0286106,Graham steps up to the climbing frame and looks searchingly at Bo,He steps up to the climbing frame and looks searchingly at him.,"['He steps up to the climbing frame.', 'He looks searchingly at him.']"
85,tt0286106,"Bo remains in a tight ball, staring down at the ground.","He remains in a tight ball, staring down at the ground.","['He remains in a tight ball.', 'He stares down at the ground.']"
86,tt0286106,Graham gently lifts her off the platform and holds her against his shoulder.,He gently lifts her off the platform and holds her against his shoulder.,"['He gently lifts her off the platform.', 'He holds her against his shoulder.']"
87,tt0286106,"Graham carries Bo back to the farmhouse as Merrill emerges, carrying a bowl and a bag of feed.","He carries him back to the farmhouse as he emerges, carrying a bowl and a bag of feed.","['He carries him back to the farmhouse.', 'He emerges as he carries a bowl and a bag of feed.']"
88,tt0286106,Graham walks past him.,He walks past him.,['He walks past him.']
89,tt0286106,Graham climbs onto the veranda and walks through the front door of the house.,He climbs onto the veranda and walks through the front door of the house.,"['He climbs onto the veranda.', 'He walks through the front door of the house.']"
90,tt0286106,Merrill looks over to the climbing frame with a confused expression.,He looks over to the climbing frame with a confused expression.,"['He looks over to the climbing frame.', 'He has a confused expression.']"
91,tt0286106,Merrill is in his early 30s with short dark hair and a boyish face.,He is in his early 30s with short dark hair and a boyish face.,"['He is in his early 30s.', 'He has short dark hair.', 'He has a boyish face.']"
92,tt0286106,"Merrill puts down the bag of feed and unties Isabel, the other Alsatian, from the veranda steps.",He unties her from the veranda steps.,['He unties her from the veranda steps.']
93,tt0286106,Merrill leads her across the yard as Caroline pulls the barbecue fork from Houdini's throat.,He leads her across the yard as she pulls the barbecue fork from Houdini's throat.,"['He leads her across the yard.', ""She pulls the barbecue fork from Houdini's throat.""]"
94,tt0286106,A wire wind chime in the shape of a beaming sun hangs on the veranda and swings mournfully in the soft breeze.,A wire wind chime in the shape of a beaming sun hangs on the veranda and swings mournfully in the soft breeze.,"['A wire wind chime in the shape of a beaming sun hangs on the veranda.', 'It swings mournfully in the soft breeze.']"
95,tt0286106,That night the farmhouse stands in darkness beneath a black sky.,That night it stands in darkness beneath a black sky.,"['That night it stands in darkness.', 'It is in darkness beneath a black sky.']"
96,tt0286106,Graham lies on his side in bed.,He lies on his side in bed.,['He lies on his side in bed.']
97,tt0286106,His eyes suddenly open.,His eyes suddenly open.,['His eyes suddenly open.']
98,tt0286106,Graham stares ahead.,He stares ahead.,['He stares ahead.']
99,tt0286106,Bo gazes at him.,He gazes at him.,['He gazes at him.']
100,tt0286106,"Graham pads across the landing to the children's bedroom, holding Bo by the hand.","He pads across the landing to the children's bedroom, holding him by the hand.","[""He pads across the landing to the children's bedroom."", 'He holds him by the hand.']"
101,tt0286106,"They come to the open bedroom door and step into the darkened room, where Morgan lies half off his bed in an uncomfortable looking heap.","They come to the open bedroom door and step into the darkened room, where he lies half off his bed in an uncomfortable looking heap.","['They come to the open bedroom door.', 'They step into the darkened room.', 'He lies half off his bed in an uncomfortable looking heap.']"
102,tt0286106,Bo shuffles off to her bed as Graham gently lifts Morgan up and lies him on his back.,He shuffles off to her bed as he gently lifts him up and lies him on his back.,"['He shuffles off to her bed.', 'He gently lifts him up.', 'He lies him on his back.']"
103,tt0286106,Graham walks across the bedroom and sits beside Bo on her bed.,He walks across the bedroom and sits beside her on her bed.,"['He walks across the bedroom.', 'He sits beside her on her bed.']"
104,tt0286106,Graham gazes at her and looks her up and down.,He gazes at her and looks her up and down.,"['He gazes at her.', 'He looks her up and down.']"
105,tt0286106,Bo looks at him through wide bright eyes.,He looks at him through wide bright eyes.,"['He looks at him.', 'He looks at him through wide bright eyes.']"
106,tt0286106,A sadness falls across Graham face.,A sadness falls across his face.,['A sadness falls across his face.']
107,tt0286106,"Graham looks at his daughter, then, glances over at the bedroom window.","He looks at his daughter, then, glances over at the bedroom window.","['He looks at his daughter.', 'Then, he glances over at the bedroom window.']"
108,tt0286106,A shadowing figure stands by a chimney pot on the barn roof.,A shadowing figure stands by a chimney pot on the barn roof.,['A shadowing figure stands by a chimney pot on the barn roof.']
109,tt0286106,Graham jumps to his feet.,He jumps to his feet.,['He jumps to his feet.']
110,tt0286106,"Downstairs in the lounge, Merrill is asleep in an armchair.","Downstairs in the lounge, he is asleep in an armchair.","['He is asleep in an armchair.', 'Downstairs in the lounge']"
111,tt0286106,Graham touches his shoulder and Merrill wakes.,He touches his shoulder and she wakes.,"['He touches his shoulder.', 'She wakes.']"
112,tt0286106,Merrill looks up at his brother in confusion.,He looks up at him in confusion.,"['He looks up at him.', 'He is in confusion.']"
113,tt0286106,Graham and Merrill are by the front door.,They are by the front door.,['They are by the front door.']
114,tt0286106,Merrill opens the door.,He opens the door.,['He opens the door.']
115,tt0286106,An outside light comes on.,An outside light comes on.,['An outside light comes on.']
116,tt0286106,They rush out and split up.,They rush out and split up.,"['They rush out.', 'They split up.']"
117,tt0286106,Merrill comes to the back of the house as a dust bin's tipped over up ahead.,He comes to the back of the house as a dust bin's tipped over up ahead.,"['He comes to the back of the house.', ""A dust bin's tipped over up ahead.""]"
118,tt0286106,Graham runs along the side of the house.,He runs along the side of the house.,['He runs along the side of the house.']
119,tt0286106,The brothers meet up again at the front of the house.,They meet up again at the front of the house.,['They meet up again at the front of the house.']
120,tt0286106,They stop and look around breathlessly.,They stop and look around breathlessly.,"['They stop.', 'They look around breathlessly.']"
121,tt0286106,A sound on the roof of the house attracts their attention.,A sound on the roof of the house attracts their attention.,['A sound on the roof of the house attracts their attention.']
122,tt0286106,"Merrill keeps his gaze fixed firmly on the farmhouse roof as Merrill paces backwards down the gloomy yard, and tries to get a better view.","He keeps his gaze fixed firmly on the farmhouse roof as he paces backwards down the gloomy yard, and tries to get a better view.","['He keeps his gaze fixed firmly on the farmhouse roof.', 'He paces backwards down the gloomy yard.', 'He tries to get a better view.']"
123,tt0286106,Merrill walks tensely back to Graham,He walks tensely back to him.,['He walks tensely back to him.']
124,tt0286106,Merrill and Graham turn and look behind them as something brushes past the swing.,They turn and look behind them as something brushes past the swing.,"['They turn and look behind them.', 'Something brushes past the swing.']"
125,tt0286106,"There's an urgent rustling in the maize stalks beyond the swing, which gradually dies away.","There's an urgent rustling in the maize stalks beyond the swing, which gradually dies away.","[""There's an urgent rustling in the maize stalks."", 'The rustling is beyond the swing.', 'The sound gradually dies away.']"
126,tt0286106,"Next morning, Caroline sits in the dining room with Morgan who's holding her walkie talkie.","Next morning, she sits in the dining room with him who's holding her walkie talkie.","['She sits in the dining room with him.', ""He's holding her walkie talkie.""]"
127,tt0286106,Morgan nods.,He nods.,['He nods.']
128,tt0286106,Caroline smiles warmly and nods back.,She smiles warmly and nods back.,"['She smiles warmly.', 'She nods back.']"
129,tt0286106,Caroline grins.,She grins.,['She grins.']
130,tt0286106,"Bo sits in the adjoining lounge, watching cartoons.",He watches cartoons.,['He watches cartoons.']
131,tt0286106,Graham walks over.,He walks over.,['He walks over.']
132,tt0286106,Bo does so.,He does so.,['He does so.']
133,tt0286106,There are three glasses of water on the TV set.,There are three glasses of water on the TV set.,['There are three glasses of water on the TV set.']
134,tt0286106,Caroline looks across at Merrill who sits at the other end of the long dining room table.,She looks across at him who sits at the other end of the long dining room table.,"['She looks across at him.', 'He sits at the other end of the long dining room table.']"
135,tt0286106,Merrill rests his head on his hand and looks up at her.,He rests his head on his hand and looks up at her.,"['He rests his head on his hand.', 'He looks up at her.']"
136,tt0286106,Merrill grins at Caroline and absently rubs his finger on the table top.,He grins at her and absently rubs his finger on the table top.,"['He grins at her.', 'He absently rubs his finger on the table top.']"
137,tt0286106,Caroline shrugs.,She shrugs.,['She shrugs.']
138,tt0286106,Caroline glances at Morgan who's studying her walkie talkie.,She glances at him who's studying her walkie talkie.,"['She glances at him.', ""He's studying her walkie talkie.""]"
139,tt0286106,Caroline looks back at Merrill,She looks back at him.,['She looks back at him.']
140,tt0286106,Graham walks across the lounge and spots three glasses of water on a small table.,He walks across the lounge and spots three glasses of water on a small table.,"['He walks across the lounge.', 'He spots three glasses of water on a small table.']"
141,tt0286106,Graham leans over and picks them up.,He leans over and picks them up.,"['He leans over.', 'He picks them up.']"
142,tt0286106,Graham stands upright and sees some more glasses of water on a nearby cabinet.,He stands upright and sees some more glasses of water on a nearby cabinet.,"['He stands upright.', 'He sees some more glasses of water on a nearby cabinet.']"
143,tt0286106,Graham puts the three glasses back down and walks into the dining room.,He puts the three glasses back down and walks into the dining room.,"['He puts the three glasses back down.', 'He walks into the dining room.']"
144,tt0286106,Graham sits at the table by Merrill,He sits at the table by her.,['He sits at the table by her.']
145,tt0286106,Caroline checks her notebook.,She checks her notebook.,['She checks her notebook.']
146,tt0286106,Caroline gives them a patronizing look.,She gives them a patronizing look.,['She gives them a patronizing look.']
147,tt0286106,Graham looks tense and awkward.,He looks tense and awkward.,"['He looks tense.', 'He looks awkward.']"
148,tt0286106,Caroline nods.,She nods.,['She nods.']
149,tt0286106,"Graham shrugs, and looks uncertainly at Merrill","He shrugs, and looks uncertainly at her.","['He shrugs.', 'He looks uncertainly at her.']"
150,tt0286106,Graham blows out his cheeks.,He blows out his cheeks.,['He blows out his cheeks.']
151,tt0286106,And Merrill looks at the ceiling.,And he looks at the ceiling.,['He looks at the ceiling.']
152,tt0286106,Merrill holds up his hands and turns away in frustration.,He holds up his hands and turns away in frustration.,"['He holds up his hands.', 'He turns away in frustration.']"
153,tt0286106,Bo comes into the dining room and taps Graham on the arm.,He taps him on the arm.,['He taps him on the arm.']
154,tt0286106,Bo leaves.,He leaves.,['He leaves.']
155,tt0286106,Merrill shifts awkwardly.,He shifts awkwardly.,['He shifts awkwardly.']
156,tt0286106,Graham considers for a moment.,He considers for a moment.,['He considers for a moment.']
157,tt0286106,Bo comes back.,He comes back.,['He comes back.']
158,tt0286106,Caroline looks up.,She looks up.,['She looks up.']
159,tt0286106,"In the lounge, the TV shows news footage of a corn field with a line of crop circles similar to Graham","In the lounge, the TV shows news footage of a corn field with a line of crop circles similar to his.","['In the lounge, the TV shows news footage of a corn field.', 'In the corn field, there is a line of crop circles similar to his.']"
160,tt0286106,A man talks to camera.,He talks to camera.,['He talks to camera.']
161,tt0286106,17 circles are scattered across a map of India.,17 circles are scattered across a map of India.,['17 circles are scattered across a map of India.']
162,tt0286106,Footage shows people standing in some of the circles.,Footage shows them standing in some of the circles.,['Footage shows them standing in some of the circles.']
163,tt0286106,Graham steely blue eyes gleam as Graham stares at the TV.,His steely blue eyes gleam as he stares at the TV.,"['His steely blue eyes gleam.', 'He stares at the TV.']"
164,tt0286106,Morgan takes a puff of his inhaler.,He takes a puff of his inhaler.,['He takes a puff of his inhaler.']
165,tt0286106,Caroline stands behind him.,She stands behind him.,['She stands behind him.']
166,tt0286106,Graham and Caroline come out of the house.,They come out of the house.,['They come out of the house.']
167,tt0286106,Caroline shakes her head as they stroll away from the farmhouse.,He shakes his head as they stroll away from the farmhouse.,"['He shakes his head.', 'They stroll away from the farmhouse.']"
168,tt0286106,Caroline nods and opens the driver's door of her police car.,She nods and opens the driver's door of her police car.,"['She nods.', ""She opens the driver's door of her police car.""]"
169,tt0286106,Caroline smiles and gets in.,She gets in.,['She gets in.']
170,tt0286106,Graham stands and watches as Caroline pulls around an island of grass in the middle of a stretch of gravel and heads off down the driveway.,He stands and watches as she pulls around an island of grass in the middle of a stretch of gravel and heads off down the driveway.,"['He stands and watches as she pulls around an island of grass in the middle of a stretch of gravel.', 'She heads off down the driveway.']"
171,tt0286106,Morgan and Bo sit in the back of a car.,They sit in the back of a car.,['They sit in the back of a car.']
172,tt0286106,Bo points a finger at Morgan,He points a finger at her.,['He points a finger at her.']
173,tt0286106,And Morgan brushes it away.,And he brushes it away.,['He brushes it away.']
174,tt0286106,Graham turns the radio off again.,He turns the radio off again.,"['He turns the radio off.', 'He turns it off again.']"
175,tt0286106,"Graham in the driving seat, glances over his shoulder at Morgan then, turns back to the road.","He glances over his shoulder at him then, turns back to the road.","['He glances over his shoulder at him.', 'He turns back to the road.']"
176,tt0286106,Morgan sighs wearily.,He sighs wearily.,['He sighs wearily.']
177,tt0286106,"An aerial view looks directly down onto a quiet freeway, which runs through a suburban part of town.","An aerial view looks directly down onto a quiet freeway, which runs through a suburban part of town.","['An aerial view looks directly down onto a quiet freeway.', 'The freeway runs through a suburban part of town.']"
178,tt0286106,"Graham silver station wagon drives along the freeway, and passes a large modern church.","A station wagon drives along the freeway, and passes a large modern church.","['A station wagon drives along the freeway.', 'It passes a large modern church.']"
179,tt0286106,The station wagon parks up beside some other vehicles outside a parade of shops and the family get out.,The family get out.,['The family get out.']
180,tt0286106,Merrill feeds the parking meter.,He feeds the parking meter.,['He feeds the parking meter.']
181,tt0286106,And Morgan holds his hand out to Graham,And he holds his hand out to him.,['He holds his hand out to him.']
182,tt0286106,Graham hands Morgan some cash.,He hands him some cash.,['He hands him some cash.']
183,tt0286106,Morgan and Bo head off down the sidewalk together.,They head off down the sidewalk together.,['They head off down the sidewalk together.']
184,tt0286106,Graham watches them as Morgan holds out his hand and Bo takes it.,He watches them as he holds out his hand and he takes it.,"['He watches them as he holds out his hand.', 'He holds out his hand and he takes it.']"
185,tt0286106,Graham turns and calls to Merrill who strolls off in the other direction.,He turns and calls to her who strolls off in the other direction.,"['He turns and calls to her.', 'She strolls off in the other direction.']"
186,tt0286106,Morgan is in a bookshop watching the news coverage with the middle aged proprietors.,He is in a bookshop watching the news coverage with them.,"['He is in a bookshop.', 'He is watching the news coverage with them.']"
187,tt0286106,A radio's on in a pharmacy as Graham waits at the counter.,A radio's on in a pharmacy as he waits at the counter.,"[""A radio's on in a pharmacy."", 'He waits at the counter.']"
188,tt0286106,The young shop assistant comes to the counter with a paper prescription bag.,The young shop assistant comes to the counter with a paper prescription bag.,"['The young shop assistant comes to the counter.', 'She is with a paper prescription bag.']"
189,tt0286106,Tracy leans pensively on the counter.,She leans pensively on the counter.,['She leans pensively on the counter.']
190,tt0286106,Tracy face crumples.,Her face crumples.,['Her face crumples.']
191,tt0286106,Graham looks awkward.,He looks awkward.,['He looks awkward.']
192,tt0286106,Merrill is in an army recruitment center looking at the posters.,He is in an army recruitment center looking at the posters.,"['He is in an army recruitment center.', 'He is looking at the posters.']"
193,tt0286106,A gray haired man in a sergeant's uniform sits at a desk with a poster of UNCLE SAM behind him.,A gray haired man in a sergeant's uniform sits at a desk with a poster of UNCLE SAM behind him.,"[""A gray haired man in a sergeant's uniform sits at a desk."", 'A poster of UNCLE SAM is behind him.']"
194,tt0286106,Merrill turns to the sergeant.,He turns to him.,['He turns to him.']
195,tt0286106,Cunningham stares up at Merrill,He stares up at her.,['He stares up at her.']
196,tt0286106,Merrill gazes apprehensively down at Cunningham then laughs.,He gazes apprehensively down at him then laughs.,"['He gazes apprehensively down at him.', 'He laughs.']"
