text,start,end,movie,scaled_start,scaled_end,cmd_filename,imdbid,movie_title,cmd_clip_idx
The older thief crouches down to the safe and picks up the first in a stack of velvet-lined jewel cases.,3284.354,3289.098,7212,28.85199999999988,33.59600000000002,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
Light reflects off rows of shiny gems.,3289.718,3291.84,7212,34.21599999999991,36.33800000000021,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
"He drops the jewels into the open briefcase, then moves on to the rest of the stack.",3292.341,3296.324,7212,36.83899999999996,40.82200000000014,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
"Standing over him, Louis picks the locks of several smaller compartments in the safe.",3296.924,3300.668,7212,41.42200000000005,45.16600000000019,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
"Meanwhile, in the lobby, Dix peers through the window curtain.",3301.228,3304.031,7212,45.72600000000013,48.52900000000002,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
"Outside, a police car stops at the building across the street.",3304.611,3307.413,7212,49.108999999999945,51.91100000000008,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
Several officers climb out and race up the building's front steps.,3307.994,3311.016,7212,52.49200000000021,55.51400000000015,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
Dix moves away from the window.,3311.497,3312.898,7212,55.69550000000006,57.69550000000006,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
"Back in the vault, Doc empties the rest of the safe's contents into his briefcase.",3313.378,3317.122,7212,57.87600000000023,61.61999999999992,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
He stands.,3317.382,3318.002,7212,61.19000000000008,63.19000000000008,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
Doc jostles his briefcase.,3324.107,3325.389,7212,68.24600000000012,70.24600000000012,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
Louis sets the vial inside the safe.,3328.551,3330.173,7212,72.85999999999993,74.85999999999993,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
"Doc carries the briefcase outside the gate, gets on his back and slips underneath the invisible alarm beam.",3334.683,3339.624,7212,79.18100000000007,84.12199999999989,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
Louis slides the gate shut and follows.,3340.124,3341.964,7212,84.54199999999996,86.54199999999996,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
The three criminals walk casually across the lobby to the front door.,3347.525,3350.746,7212,92.02300000000018,95.24400000000018,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
Dix opens a window hatch and peeks through.,3351.266,3353.186,7212,95.724,97.724,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
"On the wall outside, the shadow of a man in a hat approaches.",3353.787,3356.527,7212,98.285,101.02500000000012,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
Dix quickly closes the hatch and faces the others.,3357.007,3359.388,7212,101.50500000000017,103.886,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
stands beside the door as Louie grabs the handle.,3366.726,3368.84,7212,111.2240000000002,113.33800000000024,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
Dick socks the watchman who drops his gun.,3371.241,3373.222,7212,115.7295000000002,117.7295000000002,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
The gun fires at Louie.,3374.002,3375.102,7212,118.05,120.05,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
"As he clutches his abdomen, Dick grabs him.",3375.642,3377.623,7212,120.13050000000004,122.13050000000004,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
Doc leads them through another door to the basement.,3379.303,3381.424,7212,123.801,125.92200000000008,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
Emmerich holds up a clear stone and shows Branham as Doc sweeps the strewn pieces back into the case.,3603.379,3608.42,7212,5.543999999999872,10.585000000000042,2014/cUEc9ZF3G3M,tt0042208,The Asphalt Jungle,4
Dix eyes them warily and Emmerich hands the gem back to Doc.,3609.041,3612.081,7212,11.206000000000138,14.246000000000102,2014/cUEc9ZF3G3M,tt0042208,The Asphalt Jungle,4
Emmerich smiles.,3631.105,3631.925,7212,32.680000000000085,34.680000000000085,2014/cUEc9ZF3G3M,tt0042208,The Asphalt Jungle,4
Doc's eyes narrow.,3717.616,3718.676,7212,119.311,121.311,2014/cUEc9ZF3G3M,tt0042208,The Asphalt Jungle,4
"Hemric looks to the stern-faced hooligan as Branham watches, his face half-shadowed.",3723.527,3727.948,7212,125.69200000000008,130.11299999999991,2014/cUEc9ZF3G3M,tt0042208,The Asphalt Jungle,4
Smoke drifts past Hemric's nervous face.,3728.388,3730.448,7212,130.55299999999997,132.61299999999991,2014/cUEc9ZF3G3M,tt0042208,The Asphalt Jungle,4
"Branham grins, pointing his gun.",3746.511,3747.911,7212,148.37600000000006,150.37600000000006,2014/cUEc9ZF3G3M,tt0042208,The Asphalt Jungle,4
Dix raises his arms.,3750.811,3751.952,7212,152.54650000000024,154.54650000000024,2014/cUEc9ZF3G3M,tt0042208,The Asphalt Jungle,4
"Dix sighs, staring coldly.",3769.399,3771.0,7212,171.3645,173.3645,2014/cUEc9ZF3G3M,tt0042208,The Asphalt Jungle,4
"Noticing the outer door opening, she brushes faster, then tucks the matching silver hand mirror and brush under the blankets.",4476.144,4482.129,7212,2.5541782279410024,8.536415408311319,2014/EkRzpc98bwc,tt0042208,The Asphalt Jungle,5
She smiles brightly as her husband enters.,4482.55,4484.611,7212,8.957221064608344,11.017269657547704,2014/EkRzpc98bwc,tt0042208,The Asphalt Jungle,5
"Turning away, he slides his hand into his pocket.",4496.149,4498.51,7212,22.549943439856687,24.909853545596764,2014/EkRzpc98bwc,tt0042208,The Asphalt Jungle,5
He returns to his seat at her bedside.,4509.773,4511.534,7212,36.04774781457404,38.04774781457404,2014/EkRzpc98bwc,tt0042208,The Asphalt Jungle,5
He stares ahead.,4524.163,4524.963,7212,49.950826855570526,51.950826855570526,2014/EkRzpc98bwc,tt0042208,The Asphalt Jungle,5
Doc and Dick stride through an abandoned train yard.,4689.461,4691.822,7212,0.4710000000004585,2.832000000000335,2014/GllksI139DM,tt0042208,The Asphalt Jungle,6
"As they step onto a platform, an older police officer steps out and they stop.",4692.323,4696.305,7212,3.333,7.315000000000511,2014/GllksI139DM,tt0042208,The Asphalt Jungle,6
The officer shines a large flashlight at them.,4696.806,4698.947,7212,7.815999999999805,9.957000000000336,2014/GllksI139DM,tt0042208,The Asphalt Jungle,6
Doc nods and walks past the officer.,4725.672,4727.492,7212,36.59200000000011,38.59200000000011,2014/GllksI139DM,tt0042208,The Asphalt Jungle,6
Dick steps in front of the flashlight's beam.,4731.891,4733.852,7212,42.88149999999997,44.88149999999997,2014/GllksI139DM,tt0042208,The Asphalt Jungle,6
"As the officer reaches for his gun, he punches Dick's.",4734.372,4736.793,7212,45.38200000000053,47.80299999999989,2014/GllksI139DM,tt0042208,The Asphalt Jungle,6
Doc rushes the officer and gets hit over the head with the flashlight.,4737.294,4740.255,7212,48.304,51.26500000000034,2014/GllksI139DM,tt0042208,The Asphalt Jungle,6
"As Doc goes down, Dick's beats the officer to the ground.",4740.715,4743.516,7212,51.72500000000038,54.525999999999854,2014/GllksI139DM,tt0042208,The Asphalt Jungle,6
Dick's helps his friend to his feet.,4743.956,4745.357,7212,54.66650000000028,56.66650000000028,2014/GllksI139DM,tt0042208,The Asphalt Jungle,6
Doc's forehead shines with dark blood.,4745.837,4747.798,7212,56.82750000000034,58.82750000000034,2014/GllksI139DM,tt0042208,The Asphalt Jungle,6
Doc picks up the briefcase and takes a few wobbly steps.,4748.418,4751.119,7212,59.428,62.12899999999992,2014/GllksI139DM,tt0042208,The Asphalt Jungle,6
"Dick's leads him away, placing Doc's hat back on his head.",4751.62,4754.561,7212,62.63000000000012,65.57099999999993,2014/GllksI139DM,tt0042208,The Asphalt Jungle,6
Bobby goes through the door and Dietrich swings.,5124.679,5126.601,7212,40.42999999999984,42.42999999999984,2014/2RA-7QUYrHA,tt0042208,The Asphalt Jungle,7
The lieutenant holds Kabi by the collar and backhands him.,5130.223,5132.805,7212,46.01299999999992,48.595000000000255,2014/2RA-7QUYrHA,tt0042208,The Asphalt Jungle,7
"Holding him at arm's length, Dietrich slaps him over and over, backing him into a table.",5133.666,5137.649,7212,49.45600000000013,53.43900000000031,2014/2RA-7QUYrHA,tt0042208,The Asphalt Jungle,7
"The Kabi collapses, sobbing into the crook of Dietrich's arm.",5137.909,5140.912,7212,53.698999999999614,56.70200000000023,2014/2RA-7QUYrHA,tt0042208,The Asphalt Jungle,7
The lieutenant shoves him off into a chair and pours a glass of whiskey.,5141.332,5144.414,7212,57.122,60.20399999999972,2014/2RA-7QUYrHA,tt0042208,The Asphalt Jungle,7
Dietrich shoves the glass under Kabi's nose and he gulps it down.,5150.759,5153.842,7212,66.54899999999998,69.632,2014/2RA-7QUYrHA,tt0042208,The Asphalt Jungle,7
Dietrich pats him on the cheek and Coby breaks down.,5159.806,5162.128,7212,75.59599999999955,77.91799999999967,2014/2RA-7QUYrHA,tt0042208,The Asphalt Jungle,7
"She looks uncertainly at Emmerich, who nods.",5396.843,5398.824,7212,4.005398264137246,6.005398264137246,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
Angela hides her face in her hands.,5428.896,5430.537,7212,35.87279082287536,37.87279082287536,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
She shakes her head.,5431.977,5432.718,7212,38.50250288955776,40.50250288955776,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
Emmerich coldly watches her sob.,5436.879,5438.42,7212,43.80190744202874,45.80190744202874,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
"She stands, flipping her shiny blonde hair out of her face.",5446.203,5448.904,7212,53.35122031256095,56.05089811267862,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
She starts away and pauses to take Emmerich's hand.,5449.464,5451.785,7212,56.61062398,58.93048779877167,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
Angela holds onto his finger as she struggles to speak.,5459.198,5461.838,7212,66.33985897,68.97856663053116,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
She smiles and Andrews leads Angela away.,5469.62,5471.98,7212,76.75675716756038,79.11560189480095,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
Hardy faces the fireplace.,5472.36,5473.781,7212,79.20556807067247,81.20556807067247,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
Emoryk stands and gives the confession back.,5476.581,5478.602,7212,83.7143496,85.73436027776276,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
"Emmerich stares at him for a moment, gives a slight smile, then exits.",5490.601,5494.122,7212,97.72748649901828,101.2467629,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
"Janacek follows him out, staying a few steps behind.",5494.722,5497.563,7212,101.84646917739111,104.68607844437932,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
Emmerich walks into a study and takes a seat at the desk.,5498.283,5500.864,7212,105.4057259882836,107.98546253108312,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
A shaded table lamp casts a muted glow on the wall.,5501.604,5504.345,7212,108.7251002845407,111.46475850376412,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
"On the desk next to the phone, a stack of note paper rests in a holder.",5505.245,5508.587,7212,112.36431793364376,115.70468194993204,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
"As the detective watches him from the hall, Emmerich takes a slip of paper from the stack and picks up a fountain pen.",5509.347,5514.749,7212,116.46430991294112,121.86366551317649,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
His brow furrows as he scribbles a letter in a looping cursive.,5515.489,5518.47,7212,122.60330326663312,125.5828440004919,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
"It reads, Dearest May, forgive me.",5518.73,5521.211,7212,125.84271672467878,128.32250221971532,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
"He pauses, the tip of the fountain pen hovering above the paper.",5525.512,5528.413,7212,132.62139678406356,135.52097667970992,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
Emmerich sets the pen aside and folds the paper in half.,5529.213,5531.814,7212,136.32058506182568,138.92031181417943,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
"As he rips it into tiny pieces, a sad expression forms on his wrinkled face.",5538.922,5542.984,7212,146.02483228927542,150.08484384946797,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
"He reaches into a desk drawer, and a shadow passes over the shredded letter.",5543.744,5547.506,7212,150.84447181247705,154.60463022937608,2014/Mlv16s4DxwI,tt0042208,The Asphalt Jungle,8
Doc brings a roll of Nichols open on the table.,5996.47,5998.312,7212,35.09689829879743,37.09689829879743,2014/3SYMh5owQcA,tt0042208,The Asphalt Jungle,9
"As Genie takes a nickel to the jukebox and makes her selection, Doc sits at the boy's table.",6007.015,6011.219,7212,45.71600400292451,49.917866054061925,2014/3SYMh5owQcA,tt0042208,The Asphalt Jungle,9
The two teenage boys swap a glance as Genie starts to dance.,6014.49,6017.594,7212,53.187202583384064,56.28962404074194,2014/3SYMh5owQcA,tt0042208,The Asphalt Jungle,9
She motions for the shorter boy to join her and he takes her hands.,6018.215,6021.219,7212,56.91030823050334,59.91278054297175,2014/3SYMh5owQcA,tt0042208,The Asphalt Jungle,9
"She twirls under his arm, then twirls back as Doc watches her closely.",6021.799,6025.284,7212,60.49248558332845,63.97571328,2014/3SYMh5owQcA,tt0042208,The Asphalt Jungle,9
Now Genie motions the teen away and continues on alone.,6026.024,6028.968,7212,64.71533695489322,67.65783978042778,2014/3SYMh5owQcA,tt0042208,The Asphalt Jungle,9
"She makes long claps, then holds her hands high over her head and swivels her hips forward.",6029.529,6033.974,7212,68.21855448325623,72.66129397357635,2014/3SYMh5owQcA,tt0042208,The Asphalt Jungle,9
"Doc stares at the girl, entranced.",6066.536,6068.377,7212,105.12676641106876,107.12676641106876,2014/3SYMh5owQcA,tt0042208,The Asphalt Jungle,9
The young girl snaps in the air as she dances.,6075.102,6077.184,7212,113.76837828356442,115.84931948015576,2014/3SYMh5owQcA,tt0042208,The Asphalt Jungle,9
The cappy checks his watch.,6077.404,6078.705,7212,115.71937678641537,117.71937678641537,2014/3SYMh5owQcA,tt0042208,The Asphalt Jungle,9
Genie spins and curtsies with a shrug as the song ends.,6082.868,6086.291,7212,121.53042887565232,124.95168810520592,2014/3SYMh5owQcA,tt0042208,The Asphalt Jungle,9
He switches on a radio for the reporters.,6454.442,6456.343,7212,32.034204378722976,34.034204378722976,2014/p2fHtpp_umI,tt0042208,The Asphalt Jungle,10
He switches off the four speakers.,6504.73,6506.19,7212,82.07870377195823,84.07870377195823,2014/p2fHtpp_umI,tt0042208,The Asphalt Jungle,10
He sits at his desk.,6518.614,6519.554,7212,95.69644501594794,97.69644501594794,2014/p2fHtpp_umI,tt0042208,The Asphalt Jungle,10
Swan looks intrigued.,960.149,961.39,4077,35.15706925108091,37.15706925108091,2017/LWIAWDjHhx4,tt0046912,Dial M for Murder,1
An ML envelope drops from his pocketbook.,1017.913,1020.114,4077,95.76611912313548,98.06208487196768,2017/LWIAWDjHhx4,tt0046912,Dial M for Murder,1
"Swan picks up the envelope, looks at it, and hands it back.",1025.144,1028.106,4077,103.3091124578949,106.3989128,2017/LWIAWDjHhx4,tt0046912,Dial M for Murder,1
"Swan looks at him, warily.",1054.324,1055.584,4077,133.40531371763484,135.40531371763484,2017/LWIAWDjHhx4,tt0046912,Dial M for Murder,1
Tony shows him the letter in his pocketbook.,1360.819,1362.88,4077,78.52078703237092,80.66969880797743,2017/Igs1WM2pA54,tt0046912,Dial M for Murder,2
He opens the door and steps into the hall.,1575.123,1576.863,4077,37.941768557608654,39.941768557608654,2017/jPRiyRmsLBo,tt0046912,Dial M for Murder,3
He looks at his watch again and then at the silent telephone.,2382.359,2385.16,4077,3.022617652,5.943275943355208,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
"At the party, Tony checks his watch again.",2391.182,2393.263,4077,12.22253486208535,14.392434863725732,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
Tony gets up quickly.,2410.499,2411.539,4077,31.90696847,33.90696847,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
"At the flat, Swan emerges uncertainly from behind the curtains, still holding the scarf.",2414.482,2419.105,4077,36.51790729755779,41.33840115,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
"He hesitates for a moment, then pushes the scarf into his pocket and walks slowly towards the door.",2422.143,2426.726,4077,44.50618404554724,49.28496910442156,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
"In the hotel lobby, Tony heads for the telephone kiosk.",2430.128,2432.949,4077,52.83230202396995,55.77381471240193,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
"To his dismay, he finds it occupied.",2433.47,2435.311,4077,56.27689537187536,58.27689537187536,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
"Impatiently, he paces outside.",2435.851,2437.752,4077,58.79089292303094,60.79089292303094,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
"At last, the elderly gentleman finishes his conversation.",2440.213,2442.695,4077,63.34813168112611,65.93616234141973,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
Tony hurries into the kiosk and lifts the receiver.,2446.296,2448.578,4077,69.69099651,72.07048320141453,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
He pushes his money into the box and dials.,2449.038,2450.919,4077,72.53081234716038,74.53081234716038,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
Swan steps from behind the curtains.,2500.463,2502.224,4077,126.09011728913624,128.09011728913623,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
"At the hotel, Tony is listening intently.",2507.186,2509.207,4077,133.18220799532705,135.28954480614607,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
Swan puts the scarf around her neck and pulls it tight.,2513.934,2516.376,4077,140.2184815229909,142.76480338940394,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
He twists the scarf as Margot tries to fight him off.,2517.957,2520.299,4077,144.41334346753587,146.85539334924738,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
Swan forces her backwards until she is lying back across the desk.,2522.14,2524.943,4077,148.77504058760368,151.6977843187898,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
Tony listens silently as Margot gasps for breath.,2525.483,2528.185,4077,152.2608530361784,155.07828206281533,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
"As Swan bends over her, she struggles frantically to push him away.",2531.348,2534.19,4077,158.37640493892687,161.3398147441464,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
"She reaches back above her head, her clutching fingers grasp the open scissors.",2535.351,2539.074,4077,162.5504125,166.43245847697244,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
She plunges them desperately into his back.,2539.334,2541.136,4077,166.6430562193578,168.6430562193578,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
"Swan drops on top of her, the scissors embedded deep into him.",2544.185,2547.306,4077,171.76179961507094,175.0161282576079,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
"Rearing up again, he lurches and staggers.",2547.906,2549.907,4077,175.6417601658174,177.7282425796966,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
"The scarves still around her neck, Margot slips from the desk onto the floor.",2550.267,2553.488,4077,178.1036217,181.46222235186048,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
"She looks away in horror as Swan collapses beside her, driving the scissors even further into his back.",2553.908,2558.709,4077,181.9001646876073,186.90626267313087,2017/8HiCEPL6oa8,tt0046912,Dial M for Murder,4
Margo gets up and indicates the bedroom.,3426.226,3428.427,4077,10.830138428664313,13.125322171350907,2017/Oh0635HLx5s,tt0046912,Dial M for Murder,6
She crosses the room and stands behind the desk.,3438.354,3440.795,4077,23.47711181862436,26.022565483276114,2017/Oh0635HLx5s,tt0046912,Dial M for Murder,6
"Behind the Inspector, Tony gives her a warning look.",3521.482,3524.163,4077,110.1622704565388,112.95799404315524,2017/Oh0635HLx5s,tt0046912,Dial M for Murder,6
Margot returns wearing her coat.,3868.42,3870.061,4077,18.678199210357988,20.678199210357988,2017/DaWi5EoJVGA,tt0046912,Dial M for Murder,7
Mark hands them to the Inspector.,3902.478,3904.019,4077,54.14184332984815,56.14184332984815,2017/DaWi5EoJVGA,tt0046912,Dial M for Murder,7
Tony reappears.,3905.32,3906.32,4077,56.82341122132304,58.82341122132304,2017/DaWi5EoJVGA,tt0046912,Dial M for Murder,7
She takes it out and shows them.,3998.176,3999.516,4077,153.83120226636254,155.83120226636254,2017/DaWi5EoJVGA,tt0046912,Dial M for Murder,7
"Looking stunned, Margo shakes her head.",4140.289,4142.391,4077,12.324655284735943,14.516687347866974,2017/9MSGSOjdViQ,tt0046912,Dial M for Murder,8
She shakes her head again.,4149.154,4150.135,4077,21.08086649626065,23.08086649626065,2017/9MSGSOjdViQ,tt0046912,Dial M for Murder,8
A symbolic black cloth is placed on the judge's head.,4172.161,4174.902,4077,45.56178464540072,48.420186113070805,2017/9MSGSOjdViQ,tt0046912,Dial M for Murder,8
He looks out of the window.,5890.851,5891.751,4077,0.1282751454567283,2.1282751454567284,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
Tony has stopped just outside the house.,5892.612,5894.513,4077,2.486436738325541,4.4864367383255415,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
"Looking puzzled, he is turning the key over and over in his hand.",5895.313,5898.315,4077,5.311757042688562,8.442069269878823,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
Tony comes back into the house and goes straight to the stairs.,5944.048,5946.67,4077,56.12980047777913,58.86387065089544,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
He takes the key from under the stair carpet.,5948.571,5950.433,4077,60.81691669600002,62.81691669600002,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
He puts the key into the lock and opens the door.,5952.975,5955.096,4077,65.43836052179445,67.65001682887943,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
"He steps inside, putting down the books and bags.",5958.558,5961.2,4077,71.25999048995067,74.01491551,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
"Inside the flat, Tony switches on the light.",5964.159,5966.26,4077,77.10038982,79.29119128069821,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
Mark and Margo and Inspector Hubbard stand facing him.,5968.641,5971.843,4077,81.77396057215039,85.11282124885444,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
He quickly opens the door.,5972.764,5974.024,4077,85.73011447,87.73011447,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
A detective stands outside.,5975.425,5976.866,4077,88.59921976900404,90.59921976900404,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
Tony slowly closes the door again.,5978.307,5979.968,4077,91.71910457,93.71910457,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
"Distressed, Margo turns away.",5982.149,5984.211,4077,95.85932285,98.00945736674149,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
"Tony shrugs, looks at the drinks on the sideboard, then walks calmly to the desk and picks up a bottle of whisky.",5985.711,5991.835,4077,99.57357074,105.95932426217848,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
He puts the key on the desk.,6001.093,6002.314,4077,115.24962613227588,117.24962613227588,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
"Taking a glass from the sideboard, he pours himself a large drink.",6003.615,6006.858,4077,118.24282793849648,121.6244410473509,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
Hubbard is dialing a number.,6018.227,6019.328,4077,133.05340726720448,135.05340726720448,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
"Waiting for a reply, the inspector has a look of smug satisfaction as he combs his neat moustache.",6022.999,6029.303,4077,138.4553436653007,145.0287907939519,2017/JY4UoItJ_lA,tt0046912,Dial M for Murder,10
The dock approaches him.,1006.132,1007.153,4727,-0.431401405,1.5685985945425815,2012/fCQb93-RrZo,tt0050468,Gunfight at the O.K. Corral,1
