text_gt,text_gt_wo_char
"Above, Dracula turns on the stairs, watching the young man with an eager smile.","Above, he turns on the stairs, watching the young man with an eager smile."
"The visitor examines the web before him, then raises his cane and tears through the sticky threads.","He examines the web before him, then raises his cane and tears through the sticky threads."
"As he steps through, a fat spider scurries into hiding.","As he steps through, a fat spider scurries into hiding."
Dracula stands beside a heavy wooden bed.,He stands beside a heavy wooden bed.
Renfield drops the lease.,He drops the lease.
"Dracula's hungry stare locks on Renfield's middle finger, where a glossy bead of blood trickles down.","His hungry stare locks on her middle finger, where a glossy bead of blood trickles down."
"With a zealous grin, he stalks toward his distracted guest.","With a zealous grin, he stalks toward his distracted guest."
"As he approaches, Renfield's silver crucifix falls into view, and Dracula reels back, shielding his eyes.","As he approaches, his silver crucifix falls into view, and he reels back, shielding his eyes."
He tucks the crucifix into a pocket.,He tucks the crucifix into a pocket.
Renfield sucks the blood from his fingertip.,He sucks the blood from his fingertip.
"Dracula watches him with a piercing stare, then reaches for the wine bottle and a goblet.","He watches him with a piercing stare, then reaches for the wine bottle and a goblet."
"With slow mechanical movements, Dracula fills the pewter goblet.","With slow mechanical movements, he fills the pewter goblet."
Renfield glances at a second goblet.,He glances at a second goblet.
"Renfield frowns, then raises his cup.","He frowns, then raises his cup."
He takes a sip.,He takes a sip.
A sign above a wrought iron gate reads Seward Sanitarium.,A sign above a wrought iron gate reads his name.
"Outside a stately stone mansion, orderlies and white uniforms accompany patients around the grounds.","Outside a stately stone mansion, they accompany them around the grounds."
The patients look up.,They look up.
"Behind a barred window, Renfield cowers on the floor as an orderly bends over him.","Behind a barred window, he cowers on the floor as he bends over him."
"Pinching an insect in his fingers, the orderly stands and heads for the window.","Pinching an insect in his fingers, he stands and heads for the window."
"A maid introduces the Count, who bows and walks over to Seward.","A maid introduces him, who bows and walks over to him."
Van Helsing eyes him suspiciously.,He eyes him suspiciously.
"He turns to Mina, who sits forward, gazing expectantly up at him.","He turns to her, who sits forward, gazing expectantly up at him."
Dracula returns to the professor's bow with a cunning smile.,He returns to the professor's bow with a cunning smile.
With a watchful stare Van Helsing bows.,With a watchful stare he bows.
John Frowns.,He frowns.
"John opens a cigarette box, and the mirrored lid reflects Mina alone.","He opens a cigarette box, and the mirrored lid reflects her alone."
"In the mirror, Van Helsing notices Dracula's missing reflection.","In the mirror, he notices his missing reflection."
Van Helsing gapes as he looks up from the mirrored lid.,He gapes as he looks up from the mirrored lid.
She looks toward the professor.,She looks toward him.
Van Helsing bows.,He bows.
"Glancing at her father, she strolls to the door.","Glancing at her father, she strolls to the door."
Dracula follows her to the hall.,He follows her to the hall.
"In the mirror, Mina speaks to the empty air.","In the mirror, she speaks to the empty air."
She turns and ascends the stairs.,She turns and ascends the stairs.
"Closing the box, Van Helsing looks up at Dracula.",He looks up at him.
"Vains in Renfield's neck bulge as he stares off, his mouth agape.","His veins bulge as he stares off, his mouth agape."
Martin arrives.,He arrives.
The professor turns toward the terrace as Dracula comes inside.,He turns toward the terrace as he comes inside.
Dracula paces closer.,He paces closer.
"The professor gives him a hard sideways stare, his lips drawn in a tight frown.","He gives him a hard sideways stare, his lips drawn in a tight frown."
"Dracula extends one arm, his fingers stiff and claw-like.","He extends one arm, his fingers stiff and claw-like."
"Van Helsing sways slightly, then steadies.","He sways slightly, then steadies."
The professor's face softens and his eyes widen.,His face softens and his eyes widen.
"His eyes glazed over, then Helsing gapes, then takes a few plodding steps toward the vampire.","His eyes glazed over, then he gapes, then takes a few plodding steps toward the vampire."
Dracula's piercing stare intensifies and he draws his hand in closer.,His piercing stare intensifies and he draws his hand in closer.
"Then Helsing falters, then, swallowing hard, he staggers slowly backward.","Then he falters, then, swallowing hard, he staggers slowly backward."
"As Dracula steps toward him, the professor reaches into his breast pocket.","As he steps toward him, he reaches into his breast pocket."
Dracula stops.,He stops.
A crucifix.,A crucifix.
Dracula recoils and flees through the terrace doors.,He recoils and flees through the terrace doors.
Now John listens at Mina's bedroom door.,Now he listens at her bedroom door.
Martin and the maid exchange a mystified glance.,They exchange a mystified glance.
Martin turns to her.,He turns to her.
The orderly shakes his head.,He shakes his head.
"She nods and Martin backs away, wide-eyed and clutching his rifle.","She nods and he backs away, wide-eyed and clutching his rifle."
"Several circus performers, including a dwarf, a man amputated below the waist, and four pinheads, or people suffering from microcephaly, dance in a circle around him.","Several circus performers, including a dwarf, a man amputated below the waist, and four pinheads, or people suffering from microcephaly, dance in a circle around him."
"As the men approach, the performers run to the blonde woman.","As the men approach, they run to her."
A mustached man with no arms or legs lies on the ground.,He lies on the ground.
One of the men sticks out his tongue after they pass.,One of them sticks out his tongue after they pass.
Josephine Joseph walks past the strongman and a brown-haired man with a stutter taking off a dress.,He walks past the strongman and a brown-haired man with a stutter taking off a dress.
Josephine Joseph pauses and turns her feminine side toward the strongman.,He pauses and turns his feminine side toward him.
Violet shuts her eyes.,She shuts her eyes.
Frozo washes up outside a wagon as one of the pinheads walks up and tugs on him.,He washes up outside a wagon as one of them walks up and tugs on him.
"Standing a short distance away, Venus smiles at them.","Standing a short distance away, she smiles at them."
The bald Schlitzy smiles sheepishly.,He smiles sheepishly.
Schlitzy waves as her fellow pinheads walk up.,She waves as her fellow pinheads walk up.
Slitsy walks up to Frozo and smacks his chest.,He smacks his chest.
The circus troupe sits around a banquet table as a pinhead dances atop it.,They sit around a banquet table as one dances atop it.
"Hercules sits beside Cleopatra, who wears a white dress and a pearl necklace.","He sits beside her, who wears a white dress and a pearl necklace."
"Lowering one hand under the table, Cleopatra pours the contents of a small vial into a bottle of champagne.","Lowering one hand under the table, she pours the contents of a small vial into a bottle of champagne."
She picks up the bottle and claps Hans on the back.,She picks up the bottle and claps him on the back.
She fills Hans' glass from the bottle.,She fills his glass from the bottle.
"Wearing a faux costume and feathered tiara, Cuckoo shimmies on the tabletop.",He shimmies on the tabletop.
"A man wearing a bow tie stands, polishes a sword, then slides the blade down his throat.","He stands, polishes a sword, then slides the blade down his throat."
"Volcano, a black-haired fire-eater, places a burning torch onto his tongue.",He places a burning torch onto his tongue.
Elvira and Jenny Lee smile and clap.,They smile and clap.
"Cleopatra claps Hercules on the shoulder, Hans frowns as the strong man stands and kisses his new bride.","He claps him on the shoulder, he frowns as the strong man stands and kisses his new bride."
Cleopatra grows serious as Hercules guffaws at her.,She grows serious as he guffaws at her.
"Standing on the table, Angelino, a little person, gives people drinks from the loving cup, a crystal goblet.","Standing on the table, he gives people drinks from the loving cup, a crystal goblet."
"Staring wide-eyed, Cleopatra slowly rises from her chair.","Staring wide-eyed, she slowly rises from her chair."
Angelino skips down the table to Cleopatra and holds up the loving cup.,He skips down the table to her and holds up the loving cup.
He takes a drink from the large crystal goblet then passes it to Cleopatra.,He takes a drink from the large crystal goblet then passes it to her.
She takes the cup then glares at the chanting wedding guests.,She takes the cup then glares at the chanting wedding guests.
Hercules places hands onto Cleopatra's shoulders.,He places hands onto her shoulders.
She prances around the table.,She prances around the table.
Hercules picks up a trumpet as he prances behind them.,He picks up a trumpet as he prances behind them.
"Outside in the storm, Frozo runs up and yanks Hercules to the floor.","Outside in the storm, he runs up and yanks him to the floor."
The two men grapple in Venus' doorway.,The two men grapple in her doorway.
Venus is knocked backward as the horses jerk her wagon around an obstacle.,She is knocked backward as the horses jerk her wagon around an obstacle.
"Hercules staggers toward her, but Frozo tackles him to the floor.","Hercules staggers toward her, but he tackles him to the floor."
"Meanwhile, Hansa's wagon tips into a ditch and crashes.","Meanwhile, his wagon tips into a ditch and crashes."
Cleopatra climbs out of the back door and flees.,She climbs out of the back door and flees.
"Johnny, Angelino, and the other man hurry after her.","He, she, and he hurry after her."
"Meanwhile, Frozo fights with Hercules.","Meanwhile, he fights with him."
She calls out a window.,She calls out a window.
Hercules stands and punches Frozo in the face.,He stands and punches him in the face.
He pushes Frozo onto a stove and chokes him.,He pushes him onto a stove and chokes him.
"The stovepipe breaks, unleashing a gout of fire.","The stovepipe breaks, unleashing a gout of fire."
Hercules turns and grabs Venus but Frozo leaps on his back.,He turns and grabs her but he leaps on his back.
"Struggling, the two spill out the back of the wagon and into the mud.","Struggling, they spill out the back of the wagon and into the mud."
"The dwarf with a switchblade jerks his thumb at Angelino, who walks out.","The dwarf with a switchblade jerks his thumb at her, who walks out."
"As Hercules straddles Frozo and chokes him, the dwarf throws his knife.","As he straddles him and chokes him, the dwarf throws his knife."
The blade sticks in Hercules' ribs.,The blade sticks in his ribs.
"Frozo punches him, then rolls out from under Hercules as he collapses.","He punches him, then rolls out from under him as he collapses."
"Struggling to his knees, Hercules looks back as the dwarf approaches with another knife in his fist.","Struggling to his knees, he looks back as the dwarf approaches with another knife in his fist."
"Holding a blade, one of the pinheads crawls through the muck beneath the crashed wagon toward him.","Holding a blade, one of them crawls through the muck beneath the crashed wagon toward him."
"Hercules squirms backward on the muddy ground, as Angelino and several other freaks advance toward him.","He squirms backward on the muddy ground, as they advance toward him."
"Holding a knife between his teeth, the human worm squirms over the ground.","Holding a knife between his teeth, he squirms over the ground."
More circus freaks crawl toward him from all sides.,More circus freaks crawl toward him from all sides.
"Meanwhile, Cleopatra screams as she runs through dark woods.","Meanwhile, she screams as she runs through dark woods."
She stops beside a tree and glances back.,She stops beside a tree and glances back.
The carnival bacco gestures into the pen at Cleopatra.,The carnival bacco gestures into the pen at her.
"Elsewhere, Hans paces in front of a mansion's fireplace.",He paces in front of a mansion's fireplace.
and steps on stage wearing an elegant white gown.,and steps on stage wearing an elegant white gown.
Kong tears down as denim takes her hand.,He tears down as denim takes her hand.
Jack walks onto the stage and takes his place beside Ann.,He walks onto the stage and takes his place beside her.
Kong stares down at the threesome.,He stares down at them.
"He shifts, but his chains hold fast.","He shifts, but his chains hold fast."
"Gripping their cameras, a dozen photographers step out onto the stage.","Gripping their cameras, a dozen photographers step out onto the stage."
Denham guides Anne to the front of Kong's platform.,He guides her to the front of its platform.
Flash bulbs pop as the photographers point their cameras at the ape.,Flash bulbs pop as they point their cameras at the ape.
"Enraged, Kong shakes his head.",He shakes his head.
The audience gazes up at Kong in complete awe.,The audience gazes up at him in complete awe.
Flash bulbs burst as they take more pictures.,Flash bulbs burst as they take more pictures.
"There in his teeth, Kong struggles wildly against his shackles.","There in his teeth, he struggles wildly against his shackles."
"As more flashes explode, he rips one arm free.","As more flashes explode, he rips one arm free."
"Kong pulls his other hand free, the audience parts scattering for the aisles.","He pulls his other hand free, the audience parts scattering for the aisles."
"Denim, Anne and Jack rush from the stage.",They rush from the stage.
Kong breaks the chain binding into the platform.,He breaks the chain binding into the platform.
"Jumping down, he pulls off the metal belt in one of the cuffs, then charges into the wings.","Jumping down, he pulls off the metal belt in one of the cuffs, then charges into the wings."
"In a maddening crowd, a woman faints, tumbling past now empty seats.","In a maddening crowd, she faints, tumbling past now empty seats."
Kong knocks down the walls of the theater and lurches onto the street outside.,He knocks down the walls of the theater and lurches onto the street outside.
"Swerving to avoid him, a car crashes into a hotel entrance.","Swerving to avoid him, a car crashes into a hotel entrance."
"Dashing past, Anne and Jack step through revolving doors to enter the hotel.","Dashing past, they step through revolving doors to enter the hotel."
Kong lifts a tuxedered man into the air and stuffs him into his mouth.,He lifts a tuxedered man into the air and stuffs him into his mouth.
He flings him into the stampeding crowd below.,He flings him into the stampeding crowd below.
The ape breaks off a piece of awning and hurls it onto two men.,The ape breaks off a piece of awning and hurls it onto two men.
"Nearby, a policeman speaks into a call box.","Nearby, he speaks into a call box."
A beautiful brunette leans out of a hotel window with wide awestruck eyes.,She leans out of a hotel window with wide awestruck eyes.
A fire engine speeds down a street.,A fire engine speeds down a street.
"Back at the hotel, Kong climbs higher and higher, halfway up the skyscraper.","Back at the hotel, he climbs higher and higher, halfway up the skyscraper."
"Several floors above, a woman dressed in pale silk pajamas sleeps in a bed.","Several floors above, she sleeps in a bed."
"Coming up to her window, Kong peers inside.",He peers inside.
He reaches in and snatches her.,He reaches in and snatches her.
Her legs kick violently as he lifts her out of the room.,Her legs kick violently as he lifts her out of the room.
"He examines her brunette hair and plain featured face, then releases her.","He examines her brunette hair and plain featured face, then releases her."
She falls dozens of stories toward the sidewalk.,She falls dozens of stories toward the sidewalk.
"Kong stares after her, then continues his climb.","He stares after her, then continues his climb."
"Inside the hotel, Jack and Anne rush into a room.","Inside the hotel, they rush into a room."
"As she sits on the bed, he kneels beside her.","As she sits on the bed, he kneels beside her."
"Behind them, Kong climbs up to their window and peers in.","Behind them, he climbs up to their window and peers in."
"On the street below, spotlights shine over a mob.","On the street below, spotlights shine over them."
Kong breaks the window and reaches into the room.,He breaks the window and reaches into the room.
"Covering her eyes with her arm, Anne passes out on the bed.","Covering her eyes with her arm, she passes out on the bed."
Jack smashes a chair against the massive paw.,He smashes a chair against the massive paw.
He's knocked backward and falls to the floor unconscious.,He's knocked backward and falls to the floor unconscious.
Kong drags the bed closer to the window.,He drags the bed closer to the window.
"As Anne waits, her eyes fly open in terror.","As she waits, her eyes fly open in terror."
Kong picks her up and lifts her out of the room.,He picks her up and lifts her out of the room.
Rises and stares out after them.,He rises and stares out after them.
"Dozens of stories above the ground, Anne kicks and crashes in Kong's grasp.","Dozens of stories above the ground, he kicks and crashes in his grasp."
"The ink gazes at her, then starts to scale higher, heading toward the roof.","The ink gazes at her, then starts to scale higher, heading toward the roof."
She grabs his coat tail.,She grabs his coat tail.
David feels the rip and glares.,He feels the rip and glares.
"Leaving, she tears her skirt train, exposing her underpants.","Leaving, she tears her skirt train, exposing her underpants."
He backs her up against a wall.,He backs her up against a wall.
He covers her bottom with his top hat.,He covers her bottom with his top hat.
She turns and he covers her again.,She turns and he covers her again.
People stare as David holds his hat over her bottom.,People stare as he holds his hat over her bottom.
He stands behind her.,He stands behind her.
"Stepping away, she reaches for her skirt train.","Stepping away, she reaches for her skirt train."
Susan backs up to the wall.,He backs up to the wall.
He embraces her from behind.,He embraces her from behind.
She crouches down.,She crouches down.
They stare up at a French door.,They stare up at a French door.
Mr. Peabody sleepily opens the French door.,He sleepily opens the French door.
It hits Mr. Peabody and he keels over.,It hits him and he keels over.
They dash off.,They dash off.
"Later in the station wagon, Susan pulls over to a curb.","Later in the station wagon, he pulls over to a curb."
"He turns to go, but trips and falls.","He turns to go, but trips and falls."
Susan smiles as David stands up and brushes himself off.,She smiles as he stands up and brushes himself off.
Her wide set eyes flicker and she nods to herself.,Her wide set eyes flicker and she nods to herself.
He steps up to the meat counter.,He steps up to the meat counter.
The butcher goes into a back room.,He goes into a back room.
"Outside, a man wearing a three-piece suit notices the fire hydrant near Susan's parking spot.","Outside, he notices the fire hydrant near her parking spot."
Baby jumps into another car.,He jumps into another car.
Inside with the butcher.,Inside with him.
"Outside, David finds Susan at the wheel of the other car.","Outside, he finds her at the wheel of the other car."
He gets on the running board.,He gets on the running board.
"Putting on a lady's robe trimmed with down, he hurries to another room.","Putting on a lady's robe trimmed with down, he hurries to another room."
He opens the door to an older woman.,He opens the door to her.
George runs to the a tree.,He runs to the a tree.
They follow George across the lawn.,They follow him across the lawn.
"Later, they shovel more holes.","Later, they shovel more holes."
"Pressing his index fingers and thumbs together, he brings them to his lips.","Pressing his index fingers and thumbs together, he brings them to his lips."
Applegate prepares his fingers.,He prepares his fingers.
David follows the dog out again.,He follows the dog out again.
David leans on his cell door and it opens.,He leans on his cell door and it opens.
"Stepping out, he taps the constable on the shoulder.",He taps him on the shoulder.
"There are no leopards in the state of... Gaping at the leopard, the constable drops his keys and climbs up a cell door.","Gaping at the leopard, he drops his keys and climbs up a cell door."
David pets the leopard.,He pets the leopard.
"Outside, Susan leads the other leopard by a rope.",He leads the other leopard by a rope.
"As she tugs hard, the stubborn leopard lies down.","As she tugs hard, the stubborn leopard lies down."
She pulls it into the station.,She pulls it into the station.
The others scramble into cells for safety.,The others scramble into cells for safety.
"David points to Baby, who follows George into a cell.","He points to her, who follows him into a cell."
"Goady and Applegate dash out, leaving the constable behind.","They dash out, leaving him behind."
"Susan gapes at her snarling leopard, dropping the rope she starts to tremble.","She gapes at her snarling leopard, dropping the rope she starts to tremble."
"He charges gallantly in front of her, brandishing a chair like a sword he pokes at the leopard.","He charges gallantly in front of her, brandishing a chair like a sword he pokes at the leopard."
"The leopard advances, David and Susan shuffle back toward the cells, As the leopard backs them against the bars, David waves the chair at it.","The leopard advances, they shuffle back toward the cells, As the leopard backs them against the bars, he waves the chair at it."
The leopard slinks into a cell.,The leopard slinks into a cell.
He holds the cell door shut.,He holds the cell door shut.
He locks up.,He locks up.
She shows him the bone.,She shows him the bone.
Don't... She climbs up to him.,She climbs up to him.
Her ladder sways.,Her ladder sways.
The ladder sways farther back and forth and she clings on.,She clings on.
"Getting off the ladder, she climbs onto the skeleton.","Getting off the ladder, she climbs onto the skeleton."
She kneels on the big-boned spine and he reaches for her.,He kneels on the big-boned spine and he reaches for her.
David grabs her hand as the huge skeleton collapses.,He grabs her hand as the huge skeleton collapses.
She dangles from his grip.,She dangles from his grip.
He pulls her onto the scaffolding platform.,He pulls her onto the scaffolding platform.
He holds her hands.,He holds her hands.
She slaps him.,She slaps him.
Her chest heaves with sobs.,Her chest heaves with sobs.
Ashley averts his eyes from her and walks out of the library.,He averts his eyes from her and walks out of the library.
"Left behind, Scarlett stamps her foot.",He stamps his foot.
"With one eyebrow arched, she picks up a porcelain vase and hurls it over a sofa at the fireplace.","With one eyebrow arched, she picks up a porcelain vase and hurls it over a sofa at the fireplace."
Red Butler's lying there.,He's lying there.
He sits up squinty-eyed.,He sits up squinty-eyed.
She fixes her defiant gaze on him.,She fixes her defiant gaze on him.
Rhett suddenly grips her shoulders.,He suddenly grips her shoulders.
Scarlett closes her eyes and tilts pack her head inches from his lips.,She closes her eyes and tilts her head inches from his lips.
"Pressing her hands to the window panes, Scarlett blinks her tear-filled eyes.","Pressing her hands to the window panes, she blinks her tear-filled eyes."
He kisses her face.,He kisses her face.
His lips press to hers.,His lips press to hers.
"Scarlett lets him, then pushes away.","She lets him, then pushes away."
"Smirking, he puts on his hat.","Smirking, he puts on his hat."
He hands her his pistol.,He hands her his pistol.
Scarlet limply carries the pistol back to the wagon where she buries her face in the horse's neck and weeps.,She limply carries the pistol back to the wagon where she buries her face in the horse's neck and weeps.
Stray tendrils of her long dark hair curl away from her face.,Stray tendrils of her long dark hair curl away from her face.
"She rubs her knuckles into her eyes, then tosses her head defiantly.","She rubs her knuckles into her eyes, then tosses her head defiantly."
He takes her hands in his.,He takes her hands in his.
He kisses the back of each hand.,He kisses the back of each hand.
He turns them over and his smile sours.,He turns them over and his smile sours.
Scarlett hides her hands.,She hides her hands.
She cocks one eyebrow.,She cocks one eyebrow.
"He regards her slim figure, porcelain skin and girlish ringlets.","He regards her slim figure, porcelain skin and girlish ringlets."
She pummels his chest.,She pummels his chest.
Rhett holds her arms and she tries to bite him.,He holds her arms and she tries to bite him.
"As he walks away into the mist, Red puts on his hat and taps it into place.","As he walks away into the mist, he puts on his hat and taps it into place."
Scarlett squeezes her eyes shut.,She squeezes her eyes shut.
"She closes the heavy front door, then wanders across the foyer, sobbing behind the handkerchief.","She closes the heavy front door, then wanders across the foyer, sobbing behind her handkerchief."
"Around her, high-backed velvet chairs and gilded vases stand against the papered walls.","Around her, high-backed velvet chairs and gilded vases stand against the papered walls."
Iron-off points and grins.,Iron-off points and grins.
"They follow the man, but stop short as he greets a blonde woman with a stiff-armed salute.","They follow him, but stop short as he greets her with a stiff-armed salute."
They embrace.,They embrace.
Another man glares at them as he walks past.,Another man glares at them as he walks past.
"They notice a tall, square-shouldered woman wearing a drab raincoat and hat.",They notice her.
"She stares at the Russians with a thin, lipped frown.","She stares at them with a thin, lipped frown."
"Then she approaches them, carrying a bag in each hand.","Then she approaches them, carrying a bag in each hand."
A porter steps up.,He steps up.
"Allow me carrying both of her bags, Nenochka leaves with the others in tow.","Allow me carrying both of her bags, he leaves with the others in tow."
"Later in the hotel lobby, they stare at a showcase which displays a fashionable comb-shaped hat.","Later in the hotel lobby, they stare at a showcase which displays a fashionable comb-shaped hat."
He points her finger.,He points her finger.
"She walks away, leaving Leon in a wide-eyed daze.","She walks away, leaving him in a wide-eyed daze."
Gaston follows him.,He follows him.
Leon slides the doors closed between them.,He slides the doors closed between them.
"In the lamplit study, Leon plucks Ninochka's map from between her lapels, then slips the coat off her shoulders.","In the lamplit study, he plucks her map from between her lapels, then slips the coat off her shoulders."
"Underneath, Ninochka wears a long, loose-fitting blouse with a belt.","Underneath, she wears a long, loose-fitting blouse with a belt."
Leon lifts off her beret.,He lifts off her beret.
"With her lips drawn in a frown, Ninotchka studies Leon's writing desk and bookshelf.","With her lips drawn in a frown, he studies his writing desk and bookshelf."
"Leon hesitates, then smiles and gazes at her smooth straight features.","He hesitates, then smiles and gazes at her smooth straight features."
Leon Gulps.,He gulps.
They glance at Leon's war clock.,They glance at his war clock.
"Leon meets her shrewd glare, then grips her shoulders and presses his lips to hers.","He meets her shrewd glare, then grips her shoulders and presses his lips to hers."
"As they separate, Nenochka's eyes drool Was that talkative?","As they separate, her eyes drool Was that talkative?"
"Sitting on the floor against a stuffed chair, Leon leans close for a long kiss.","Sitting on the floor against a stuffed chair, he leans close for a long kiss."
"Leon lies, breathless.","He lies, breathless."
"With a smear, he watches Ninochka impassively eat her soup.","With a smear, he watches her impassively eat her soup."
The workman listen in.,He listen in.
The table full of workmen crack up while Minotka stares down at her breadbasket.,They crack up while she stares down at her breadbasket.
Leon folds his arms and glares.,He folds his arms and glares.
He tips back in his chair.,He tips back in his chair.
He leans way back and crashes to the floor.,He leans way back and crashes to the floor.
Leon sits up and glares at Ninochka's toothy grin.,He sits up and glares at her toothy grin.
"Shaking with laughter, Ninochka slaps the table.","Shaking with laughter, she slaps the table."
The waiter helps Leon to his feet and wags his finger at the amused patrons.,He helps him to his feet and wags his finger at the amused patrons.
"Leon slicks back his hair, straightens his bow tie, and sits next to Ninochka with a serious frown.","He slicks back his hair, straightens his bow tie, and sits next to her with a serious frown."
Nanotchka curses her lips and suppresses her smile.,She curses her lips and suppresses her smile.
Then Leon cracks a wide grin.,Then he cracks a wide grin.
Nanotchka's frown bursts and her face breaks into a pretty smile.,Her frown bursts and her face breaks into a pretty smile.
Leon sits close to Ninotica on a deep leather love seat.,He sits close to her on a deep leather love seat.
He gives her a sudden soft kiss.,He gives her a sudden soft kiss.
She mites her back.,She mites her back.
"Pulling her close, Leon kisses her deeply.","Pulling her close, he kisses her deeply."
"They draw apart, gazing into each other's eyes.","They draw apart, gazing into each other's eyes."
He plants a big kiss on her lips.,He plants a big kiss on her lips.
"Leading Nanuchka across the room, Leon stands her against an ornate wool panel.","Leading her across the room, he stands her against an ornate wool panel."
He removes a cloth napkin wrapped around a champagne bottle and ties it around her head like a blindfold.,He removes a cloth napkin wrapped around a champagne bottle and ties it around her head like a blindfold.
"As she stands obediently, he kisses her once.","As she stands obediently, he kisses her once."
Then takes wobbling steps back to the table where the champagne bottle stands.,Then takes wobbling steps back to the table where the champagne bottle stands.
He peels off the foil and untwists the wire around the cork.,He peels off the foil and untwists the wire around the cork.
Nenotchka slides down the wall and lands in a heap on the floor.,She slides down the wall and lands in a heap on the floor.
He decks him.,He decks him.
He steps into another room and shuts the door.,He steps into another room and shuts the door.
Anna holds up a silk teddy.,She holds up a silk teddy.
"And here am I. Olyanov searches his pockets, then pulls out his hand, dripping with yolk.","And here am I. He searches his pockets, then pulls out his hand, dripping with yolk."
They surround Nenotka as she cracks the eggs into a bowl.,They surround her as she cracks the eggs into a bowl.
"Huyganov, the neighbor, steps out of the washroom.",He steps out of the washroom.
They eye him as he crosses the room.,They eye him as he crosses the room.
"He leaves, shutting the door behind him.","He leaves, shutting the door behind him."
"Later, Irenov strums a guitar.",He strums a guitar.
Kopolsky dances around the table.,He dances around the table.
A stout woman wearing a uniform steps in and takes off her shoes.,A stout woman wearing a uniform steps in and takes off her shoes.
Then Gulganov appears again with a little boy.,Then he appears again with a little boy.
"As he goes to the washroom, the stout woman draws a curtain around her bed.","As he goes to the washroom, she draws a curtain around her bed."
"Ninochka and her friends stare at the table, smoke curling up from their cigarettes.","They stare at the table, smoke curling up from their cigarettes."
The munchkins scatter.,They scatter.
"Some throw themselves to the ground as a witch appears in a puff of red smoke, looking like Miss Gulch with a green face.","Some throw themselves to the ground as a witch appears in a puff of red smoke, looking like she with a green face."
She goes over to the legs sticking out from under the house.,She goes over to the legs sticking out from under the house.
She returns to the legs.,She returns to the legs.
The shiny red shoes disappear.,The shiny red shoes disappear.
The legs shrivel and slide backwards under the house.,The legs shrivel and slide backwards under the house.
"Dorothy looks down, shocked to find she's wearing them.","He looks down, shocked to find he's wearing them."
The Wicked Witch disappears in a puff of red smoke and a burst of flames.,She disappears in a puff of red smoke and a burst of flames.
"She knocks on the legs, then stands up alongside a figure made of tin, with a man's face and an axe in one hand.","She knocks on the legs, then stands up alongside a figure made of tin, with a man's face and an axe in one hand."
She taps his chest.,She taps his chest.
