text_gt,text_gt_wo_char
"Standing very still, with the blinds casting shadows across her face, Carolyn starts to cry: brief, staccato SOBS that seemingly escape against her will.","Standing very still, with the blinds casting shadows across her face, she starts to cry: brief, staccato SOBS that seemingly escape against her will."
"Suddenly Carolyn SLAPS herself, hard.","Suddenly she SLAPS herself, hard."
But the tears continue.,But the tears continue.
Carolyn SLAPS herself again.,She slaps herself again.
Carolyn SLAPS herself repeatedly until Carolyn stops crying.,She slaps herself repeatedly until she stops crying.
"Carolyn stands there, taking deep breaths until Carolyn has everything under control, then pulls the blinds shut, once again all business.","She stands there, taking deep breaths until she has everything under control, then pulls the blinds shut, once again all business."
"Carolyn walks out calmly, leaving us alone in the dark, empty room.","She walks out calmly, leaving us alone in the dark, empty room."
We are at a high-school BASKETBALL GAME.,They are at a high-school basketball game.
Teenage boys play a fast and furious game.,Teenage boys play a fast and furious game.
One team wearing pale blue and white uniforms scores a basket.,One team wearing pale blue and white uniforms scores a basket.
Perky cheerleaders jump up and down as the CROWD goes wild.,Perky cheerleaders jump up and down as they go wild.
"Seated in the bleachers, next to the high school BAND, is a group of about twenty TEENAGE GIRLS, dressed in pale blue and white uniforms.","Seated in the bleachers, next to the high school band, is a group of about twenty teenage girls, dressed in pale blue and white uniforms."
"Among them, Jane sits next to Angela Hayes","Among them, she sits next to her."
"At sixteen, Angela is strikingly beautiful; with perfect even features, blonde hair and a nubile young body, Angela is the archetypal American dream girl.","At sixteen, she is strikingly beautiful; with perfect even features, blonde hair and a nubile young body, she is the archetypal American dream girl."
Carolyn drives.,She drives.
Lester is slumped in the passenger seat.,He is slumped in the passenger seat.
"Carolyn stares at him, unsure of how to respond.","She stares at him, unsure of how to respond."
The uniformed girls now stand in formation on the gym floor.,The uniformed girls now stand in formation on the gym floor.
"In the crowded stands, Lester and Carolyn find seats.","In the crowded stands, they find seats."
"They are well-rehearsed, but too young to carry off the ambitious Vegas routine they are attempting.","They are well-rehearsed, but too young to carry off the ambitious Vegas routine they are attempting."
"Lester watching from the stands, picks out his daughter.",He watches her.
"Jane performs well, concentrating.","She performs well, concentrating."
Dancing awkwardly next to her is Angela,Dancing awkwardly next to her is he.
Suddenly Angela looks right at us and smiles.,Suddenly she looks right at us and smiles.
"a lazy, insolent smile.","a lazy, insolent smile."
We are focused on Angela now.,We are focused on her now.
Everything starts to .,Everything starts to.
the MUSIC acquires an eerie ECHO.,the MUSIC acquires an eerie ECHO.
"We ZOOM slowly toward Lester as Lester watches, transfixed.","We ZOOM slowly toward him as he watches, transfixed."
"The light on Angela grows stronger, and the other girls DISAPPEAR entirely.","The light on her grows stronger, and the other girls DISAPPEAR entirely."
"Lester is suddenly alone in the stands, spellbound.","He is suddenly alone in the stands, spellbound."
"Angela looks directly at us now, dancing only for Lester","She looks directly at them now, dancing only for him."
"Her movements take on a blatantly erotic edge as Angela starts to unzip her uniform, teasing us with an expression that's both innocent and knowing, then.","Her movements take on a blatantly erotic edge as she starts to unzip her uniform, teasing us with an expression that's both innocent and knowing, then."
Angela pulls her uniform OPEN and a profusion of RED ROSE PETALS spill forth.,She pulls her uniform open and a profusion of red rose petals spill forth.
"Angela fully clothed, is once again surrounded by the other girls.",She is once again surrounded by the other girls.
"The HIGH SCHOOL BAND plays its last note, the Dancing Spartanettes strike their final pose, and the audience .","The band plays its last note, the Dancing Spartanettes strike their final pose, and they."
Carolyn claps along with the rest of the audience.,She claps along with the rest of the audience.
"Lester just sits there, unable to take his eyes off Angela","He just sits there, unable to take his eyes off her."
The game is long over.,The game is long over.
Jane and Angela come out of the gym.,They come out of the gym.
Lester and Carolyn stand at the edge of the parking lot.,They stand at the edge of the parking lot.
"Jane crosses reluctantly toward her parents, followed by Angela","She crosses reluctantly toward her parents, followed by her."
An awkward beat.,An awkward beat.
Carolyn starts toward the parking lot.,She starts toward the parking lot.
Lester stays behind.,He stays behind.
"Angela smiles, aware of the power Angela has over him.","She smiles, aware of the power she has over him."
"Lester is mesmerized; grateful, even.","He is mesmerized; grateful, even."
CLOSE on a solitary red ROSE PETAL as it falls slowly through the air.,A close-up shot shows a solitary red rose petal as it falls slowly through the air.
We are looking down on Lester and Carolyn in bed.,We are looking down on them in bed.
"Even in sleep, Carolyn looks determined.","Even in sleep, she looks determined."
Lester is awake and stares up at us.,He stares up at us.
"The ROSE PETAL drifts into view, landing on his pillow.","The ROSE PETAL drifts into view, landing on his pillow."
"More ROSE PETALS fall onto the bed, and Lester smiles up at.","More ROSE PETALS fall onto the bed, and he smiles up at."
"Angela naked, FLOATS above us as a deluge of ROSE PETALS falls around her.",She floats above them as a deluge of rose petals falls around her.
"Her hair fans out around her head and GLOWS with a subtle, burnished light.","Her hair fans out around her head and glows with a subtle, burnished light."
Angela looks down at us with a smile that is all things.,She looks down at us with a smile that is all things.
"Lester smiles back and LAUGHS, as ROSE PETALS cover his face.","He smiles back and LAUGHS, as ROSE PETALS cover his face."
Jane stares at the floor.,She stares at the floor.
"Jane gets out of the car, still LAUGHING, and waves as Angela pulls away.","She gets out of the car, still LAUGHING, and waves as she pulls away."
We ZOOM toward Jane as Jane walks up the driveway.,We ZOOM toward her as she walks up the driveway.
"Jane turns suddenly, sensing our presence.","She turns suddenly, sensing our presence."
We are looking at the COLONIAL HOUSE next door where the moving van was parked earlier.,We are looking at the COLONIAL HOUSE next door where the moving van was parked earlier.
The front porch is shrouded in darkness.,The front porch is shrouded in darkness.
then a PORCH LIGHT abruptly reveals Ricky,then a PORCH LIGHT abruptly reveals him
"As usual, Ricky is dressed conservatively.","As usual, he is dressed conservatively."
"Irritated, Jane stares at him, hard.","She stares at him, hard."
"Ricky looks back at her curiously, then raises his Digicam and starts to videotape her.","He looks back at her curiously, then raises his Digicam and starts to videotape her."
"His POV, on VIDEO: Jane angry and self-conscious, turns and walks quickly toward her house, flipping us off as Jane goes.","His POV, on VIDEO: she angry and self-conscious, turns and walks quickly toward her house, flipping us off as she goes."
"Jane enters, closes and locks the door.","She enters, closes and locks the door."
"Jane quickly TURNS OFF THE LIGHT that's been left on for her, then peeks through a window.","He quickly turns off the light that's been left on for her, then peeks through a window."
and smiles.,and smiles.
"Jane turns back into the room, her heart racing.","She turns back into the room, her heart racing."
"Lester dressed for work, goes through Jane address book.","He dresses for work, goes through her address book."
"Lester grabs Jane phone and dials, then stands with the receiver to his ear, nervous.","He grabs her phone and dials, then stands with the receiver to his ear, nervous."
"Lester is frozen, unable to speak.","He is frozen, unable to speak."
Lester hangs up and exits quickly.,He hangs up and exits quickly.
"Jane emerges from the bathroom, a towel wrapped around her torso, drying her wet hair.","She emerges from the bathroom, a towel wrapped around her torso, drying her wet hair."
Jane picks up the PHONE.,She picks up the PHONE.
"Angela is sprawled across her bed, on the phone.","She is sprawled across her bed, on the phone."
Then Jane notices her address book open to the H page.,Then she notices her address book open to the H page.
"Jane picks up the address book, frowning.","She picks up the address book, frowning."
"We are across from Jane WINDOW, looking in.","We are across from her, looking in."
"Jane speaks into the phone, but we can't hear her.","He speaks into the phone, but we can't hear her."
"Barbara Fitts stands at the stove, flipping bacon strips mechanically, her eyes focused elsewhere.","She stands at the stove, flipping bacon strips mechanically, her eyes focused elsewhere."
"At least ten years younger than her husband, Barbara is pretty in a June Cleaver-ish way.","At least ten years younger than her husband, she is pretty in a June Cleaver-ish way."
Ricky enters.,He enters.
"Startled, Barbara turns to him.","Startled, she turns to him."
As Barbara attempts to serve him bacon.,As he attempts to serve him bacon.
"Ricky serves himself scrambled eggs from another pan, then joins his father at the table.","He serves himself scrambled eggs from another pan, then joins his father at the table."
The Colonel sits at a dinette reading The Wall Street Journal.,He sits at a dinette reading The Wall Street Journal.
"The Colonel and Barbara look at each other, alarmed.","They look at each other, alarmed."
"The Colonel heads toward the living room, a little puffed up.","He heads toward the living room, a little puffed up."
The Colonel opens the front door to reveal the two JIMS.,He opens the front door to reveal the two of them.
"Jim #1 holds out a basket filled with flowers, vegetables and a small white cardboard box tied with raffia.","He holds out a basket filled with flowers, vegetables and a small white cardboard box tied with raffia."
"The Colonel stares at them, suspicious.","He stares at them, suspicious."
"The Jims look at each other, then back at The Colonel","They look at each other, then back at him."
"The Colonel looks at them, confused.","He looks at them, confused."
Then it dawns on him.,Then it dawns on him.
"The Colonel drives, staring darkly at the road ahead.","He drives, staring darkly at the road ahead."
"In the passenger seat, Ricky is using a CALCULATOR and jotting numbers down in a NOTEBOOK.","In the passenger seat, he is using a CALCULATOR and jotting numbers down in a NOTEBOOK."
The Colonel looks at Ricky sharply.,He looks at him sharply.
The Colonel eyes flash angrily.,His eyes flash angrily.
"A beat, as Ricky continues his calculations, before Ricky realizes a response is expected from him.","A beat, as he continues his calculations, before he realizes a response is expected from him."
"Ricky sighs, then looks at his father.","He sighs, then looks at him."
The Colonel is taken aback but quickly covers.,He is taken aback but quickly covers.
"Case closed, Ricky goes back to his calculations.",He goes back to his calculations.
CLOSE on the pencil in his hands: Ricky is totaling two columns of NUMBERS.,He totals two columns of numbers.
Jane and Angela are standing with two other TEENAGE GIRLS.,They are standing with two other TEENAGE GIRLS.
The two TEENAGE GIRLS move away from Jane and Angela,The two TEENAGE GIRLS move away from her and her.
"The Colonel Ford Explorer pulls up, and Ricky gets out.","The car pulls up, and he gets out."
Angela stares at Jane then her mouth widens into a smile.,She stares at him then her mouth widens into a smile.
Jane suddenly finds Ricky standing in front of her.,He suddenly finds him standing in front of her.
"Ricky looks at her intently, his eyes searching hers.","He looks at her intently, his eyes searching hers."
Jane is unnerved and has to look away.,She is unnerved and has to look away.
Ricky smiles and walks off.,He smiles and walks off.
Angela shoots a wide-eyed look at Jane who ignores it.,He shoots a wide-eyed look at her who ignores it.
"The Colonel and Barbara are seated on a couch, watching television.","They are seated on a couch, watching television."
"The Colonel is smiling, enjoying the show; Barbara just stares.","He is smiling, enjoying the show; she just stares."
The Colonel CHUCKLES at a joke and startles her.,He CHUCKLES at a joke and startles her.
"The three of them stare at the TV, like strangers in an airport.","The three of them stare at the TV, like strangers in an airport."
We FOLLOW THEM as they pass a SIGN that reads.,We FOLLOW THEM as they pass a SIGN that reads.
"Inside the ballroom, well-dressed real estate professionals stand in clumps, chatting.","Inside the ballroom, well-dressed they stand in clumps, chatting."
Catering waiters serve hors d'eouvres.,They serve hors d'eouvres.
"Carolyn jaw tightens, then.","Her jaw tightens, then."
Carolyn drags Lester toward a silver-haired MAN and his much younger WIFE.,She drags him toward a silver-haired man and his much younger wife.
We recognize the Man as Buddy Kane The Real Estate King.,He recognizes him as him The Real Estate King.
A little too loudly.,A little too loudly.
Carolyn quickly joins in.,She quickly joins in.
Carolyn smiles her most winning smile at him.,She smiles her most winning smile at him.
"Lester knows this person well, only it's never pissed him off as much as it does right now.","He knows this person well, only it's never pissed him off as much as it does right now."
"And Lester kisses her--a soft, warm kiss that speaks unmistakably of sex--then turns to the others and grins.","And he kisses her--a soft, warm kiss that speaks unmistakably of sex--then turns to the others and grins."
Carolyn smile is frozen on her face.,Her smile is frozen on her face.
Lester crosses off.,He crosses off.
Lester stands at the bar.,He stands at the bar.
A bartender pours him a drink.,A bartender pours him a drink.
The bartender complies.,He complies.
Lester takes his drink and turns to face the center of the room.,He takes his drink and turns to face the center of the room.
Carolyn is talking to Buddy and Christy,She is talking to him and her.
"Carolyn is on: smiling, animated, LAUGHING too loud at their jokes.","She is on: smiling, animated, LAUGHING too loud at their jokes."
Lester shakes his head.,He shakes his head.
"Ricky approaches him, wearing a waiter's uniform, carrying a tray of empty glasses.","He approaches him, wearing a waiter's uniform, carrying a tray of empty glasses."
"Lester looks away, scans the crowd, then downs the rest of his drink in one gulp.","He looks away, scans the crowd, then downs the rest of his drink in one gulp."
"Ricky just stands there, watching him.","He just stands there, watching him."
Finally Lester turns back to Ricky what does this kid want.,Finally he turns back to him what does this kid want.
"Lester surprised, but instantly intrigued.","He surprised, but instantly intrigued."
Carolyn and Buddy are deep in conversation.,They are deep in conversation.
Christy has wandered off.,He has wandered off.
Carolyn is nervous; Buddy seems amused.,She seems nervous; he seems amused.
"They look at each other for a beat, then look away.","They look at each other for a beat, then look away."
This situation is loaded and they both know it.,This situation is loaded and they both know it.
"Ricky and Lester stand next to a dumpster behind the service entrance to the hotel, smoking a JOINT.","They stand next to a dumpster behind the service entrance to the hotel, smoking a JOINT."
"Suddenly, the service entrance opens, and a large CATERING BOSS in a cheap suit peers out at them.","Suddenly, the service entrance opens, and a large he in a cheap suit peers out at them."
Ricky hides the joint.,He hides the joint.
He goes back inside.,He goes back inside.
Lester looks at Ricky who shrugs.,He looks at him who shrugs.
Carolyn is standing in the open service entrance.,She is standing in the open service entrance.
Lester quickly hides the joint behind his back.,He quickly hides the joint behind his back.
And Carolyn goes back inside.,And she goes back inside.
Jane and Angela are watching MTV.,They are watching MTV.
Jane switches off the TV.,She switches off the TV.
Angela starts toward the kitchen.,She starts toward the kitchen.
Lester enters and opens the refrigerator.,He enters and opens the refrigerator.
"Lester turns, and is instantly transfixed by: Angela leans against the counter, twirling her hair.","He turns, and is instantly transfixed by: She leans against the counter, twirling her hair."
Angela starts toward him.,She starts toward him.
Angela reaches inside the refrigerator to grab a bottle.,She reaches inside the refrigerator to grab a bottle.
EXTREME CLOSE UP on her hand as it briefly touches his shoulder in SLOW MOTION.,EXTREME CLOSE UP on her hand as it briefly touches his shoulder in SLOW MOTION.
"As Angela does, Angela moves to place her other hand casually on Lester shoulder.","As he does, he moves to place his other hand casually on his shoulder."
Lester sees it coming.,He sees it coming.
"Everything SLOWS DOWN, and all sound FADES.","Everything slows down, and all sound fades."
"CLOSE on Lester his eyes narrow slightly, then: Lester cups her face in his hands and kisses her.",He cups her face in his hands and kisses her.
"Angela seems shocked, but doesn't resist as Lester pulls her toward him with surprising strength.","She seems shocked, but doesn't resist as he pulls her toward him with surprising strength."
"Lester breaks the kiss, looking at her in awe, then Lester reaches up and touches his lips.","He breaks the kiss, looking at her in awe, then he reaches up and touches his lips."
His eyes widen as Lester pulls a ROSE PETAL from his mouth right before we .,His eyes widen as he pulls a ROSE PETAL from his mouth right before we.
Jane glances at Angela irritated.,He glances at her irritated.
"Angela is back against the counter, drinking the root beer.","She is back against the counter, drinking the root beer."
Carolyn enters from the dining room.,She enters from the dining room.
Lester can't believe what Lester is hearing.,He can't believe what he is hearing.
"Lester still in his suit, stands outside Jane room, his ear up against the door.","He stands outside her room, his ear up against the door."
"Lester still listening, looks like Lester is about to implode.","He still listening, looks like he is about to implode."
Jane covers her ears and starts SINGING to drown her out.,She covers her ears and starts SINGING to drown her out.
Jane SINGING stops.,She stops singing.
"Panicked, Lester scurries down the hall.","Panicked, he scurries down the hall."
Angela crosses to the window and looks out.,She crosses to the window and looks out.
"We see Angela standing at the window in her underwear, looking down at us.","We see her standing at the window in her underwear, looking down at us."
"We are across from Jane window, looking in.","We are across from her window, looking in."
"We ZOOM toward her, even as Angela poses in the window; we are clearly not interested in Angela","We zoom toward her, even as she poses in the window; we are clearly not interested in her."
"Finally, we settle on the small make-up MIRROR where we see a REFLECTION of Jane back at her computer.","Finally, we settle on the small make-up MIRROR where we see a REFLECTION of her back at her computer."
"Ricky sits in darkness with his DIGICAM, videotaping.","He sits in darkness with his DIGICAM, videotaping."
Jane is smiling.,She is smiling.
Then suddenly the DRAPES CLOSE and Jane is gone.,Then suddenly the DRAPES CLOSE and she is gone.
Ricky lowers the camera and smiles.,He lowers the camera and smiles.
then something below catches his attention.,then something below catches his attention.
"Through a WINDOW on the side of the Burnham's GARAGE DOOR, we see Lester still in his suit, digging through shelves against the back wall.","Through a WINDOW on the side of the Burnham's GARAGE DOOR, we see him still in his suit, digging through shelves against the back wall."
"Lester digs through stuff stored on the shelves, searching for something as if his very life depended on it.","He digs through stuff stored on the shelves, searching for something as if his very life depended on it."
Suddenly we HEAR someone trying to open a locked door.,Suddenly we HEAR someone trying to open a locked door.
"Moving swiftly, Ricky pulls the drapes shut and switches on a light.","Moving swiftly, he pulls the drapes shut and switches on a light."
His room is a haven of high-tech.,His room is a haven of high-tech.
"A state-of-the- art multimedia COMPUTER crowds his desk, and high-end STEREO and VIDEO EQUIPMENT line the shelves, as well as HUNDREDS OF CDs.","A state-of-the-art multimedia computer crowds his desk, and high-end stereo and video equipment line the shelves, as well as hundreds of CDs."
There is easily twenty thousand dollars worth of equipment in this room.,There is easily twenty thousand dollars worth of equipment in this room.
Ricky opens the door.,He opens the door.
"The Colonel stands outside, eyeing him.",He eyes him.
The Colonel holds out a small PLASTIC CUP WITH A CAP.,He holds out a small PLASTIC CUP WITH A CAP.
The Colonel disappears down the hall.,He disappears down the hall.
"Ricky smiles, shuts and locks his door.","He smiles, shuts and locks his door."
"Ricky puts the plastic cup on the shelf, then crosses to a MINI REFRIGERATOR in the corner of his room and takes out a cup-sized TUPPERWARE CONTAINER from the freezer, already filled with urine, albeit frozen, and places it on a saucer to thaw overnight.","He puts the plastic cup on the shelf, then crosses to a MINI REFRIGERATOR in the corner of his room and takes out a cup-sized TUPPERWARE CONTAINER from the freezer, already filled with urine, albeit frozen, and places it on a saucer to thaw overnight."
Carolyn lies sleeping.,She lies sleeping.
"Lester is awake, staring at the ceiling.","He is awake, staring at the ceiling."
"After a moment, Lester gets up, taking care not to disturb Carolyn and walks toward the bathroom.","After a moment, he gets up, taking care not to disturb her and walks toward the bathroom."
The room is filled with STEAM.,The room is filled with steam.
"Lester looks around, confused, then focuses on: Across from us, in a PEDESTAL BATHTUB, is Angela","He looks around, confused, then focuses on: Across from us, in a PEDESTAL BATHTUB, is her."
"ROSE PETALS float on the surface of the water, obscuring her naked body.","They float on the surface of the water, obscuring her naked body."
Lester kneels by the bathtub like a man in church.,He kneels by the bathtub like a man in church.
Angela arches her back and looks up at him provocatively.,She arches her back and looks up at him provocatively.
"Lester gives her a hard look, then slowly slips his hand into the water between her legs.","He gives her a hard look, then slowly slips his hand into the water between her legs."
Her eyes widen and Angela throws her head back.,Her eyes widen and she throws her head back.
"CLOSE on Carolyn her eyes wide, listening to the rhythmic BRUSH of Lester hand as Lester masturbates under the covers.",He watches him as he listens to the rhythmic BRUSH of his hand as he masturbates under the covers.
Carolyn flips over and faces him.,He flips over and faces him.
"Carolyn gets out of bed, repelled.","She gets out of bed, repelled."
Carolyn switches on the bedside LIGHT.,She switches on the bedside LIGHT.
"Carolyn sinks into a chair, stunned.","She sinks into a chair, stunned."
It's clear Lester knows where Carolyn is most vulnerable.,It's clear he knows where she is most vulnerable.
"Lester sees this, and likes it; it feels good to win for a change.","He sees this, and likes it; it feels good to win for a change."
Lester curls up under the covers contentedly.,He curls up under the covers contentedly.
CLOSE on Lester smiling.,CLOSE on him smiling.
We are FLYING high above the neighborhood.,They are flying high above the neighborhood.
"Below us we see the two Jims, jogging.","Below us we see them, jogging."
We APPROACH them steadily.,They approach them steadily.
"We are now at street level, FOLLOWING the two Jims.","We are now at street level, FOLLOWING them."
